"Reserve","SiteID","Total.unvegetated_slope","Bare_slope","Total.live.veg_slope","H.Halophyte_slope","EIR_slope","Richness_slope","SWdiv_slope","Salt_to_Total_slope","Spartina.alterniflora_slope","Juncus.roemerianus_slope","Wrack_slope","Other.Unvegetated_slope","B.Brackish_slope","F.Freshwater_slope","U.Upland_slope","Invasive_Cover_slope","Spartina.patens_slope","Dead_slope","Other.live.vegetation_slope","Water_slope","Salicornia.pacifica_slope","Rock_slope","Wood_slope","A.Algae_slope","tide_range_slope","temp_avg_slope","precip_sum_slope","Geomorphology","Tidal_Range","Salinity_category","SLR_since_1970","SLR_last19yrs","Latitude","NERR_Region","Region","NERRS_MARS","NERRs_Landscape_resiliency_condition_sum_quantile","NERRs_Landscape_resiliency_vulnerability_sum_quantile","NERRs_Landscape_UnvegVegEdge_ratio","NERRs_Landscape_Core_edge_ratio","NERRs_Landscape_%_Natural","NERRs_Landscape_tidal_range","NERRs_Landscape_Pct_MUC_below_MHHW","Criteria_for_site_not_met","SET_change","SET_deficit","proportion_low","proportion_midToHigh","proportion_uplandOrFresh","siteAvg_distance_to_water","siteAvg_orthometric_height"
"TJR","V1",1.30319422644053,,-1.303126887041,-1.3006350708012,-0.00246601486748778,0.00605698626910507,0.000612248765158524,2.90492989882224e-05,,,,1.22182007185047,,,0,,,0.081374154590055,-0.00249181623980051,,-1.38905152178901,,,,-0.00366666666666663,0.127017543859646,0.00590058479532156,"Back barrier","Mesotidal","Polyhaline",2.71,5.19,32.550214,"West Coast","NA31",3.46,3,-1,0.3,0.43,19.47,1.63,0.03,,,,0.148148148148148,0.592592592592593,0.259259259259259,30.2592592592593,1.88836296296296
"TJR","V3",-0.743621953550097,,0.743639622141038,0.611483089739619,-0.000955427474534505,-0.000258929793311945,0.0109976301127989,-0.00131689928955807,,,,-1.39067013420153,,,0.0202254991715903,,,0.647048180651436,0.111931033229829,,-0.0187803441833123,,,,-0.00366666666666663,0.127017543859646,0.00590058479532156,"Back barrier","Mesotidal","Polyhaline",2.71,5.19,32.565256,"West Coast","NA31",3.46,5,-3,0.8,0.68,64.19,1.63,0.24,,,,0,1,0,50.8541666666667,1.81729583333333
"TJR","V4",-0.834248898139749,,0.834062035513218,0.836436159444463,0.000662890113113148,-0.123493278676403,-0.0174757648680356,2.40576870019234e-05,,,,-0.859807678424988,,,0.000126221072041704,,,0.0255587802852391,-0.00250034500328668,,0.0428994135707017,,,,-0.00366666666666663,0.127017543859646,0.00590058479532156,"Back barrier","Mesotidal","Polyhaline",2.71,5.19,32.574838,"West Coast","NA31",3.46,5,-3,0.8,0.68,64.19,1.63,0.24,,1.33,1.38,0.0416666666666667,0.958333333333333,0,29.525,1.63895
"TJR","Brazo Creek",-2.55135728759421,,2.55060738004721,1.97894141419989,-0.0176268516818314,0.0666579081857383,0.0682010272876008,-0.00594710545938597,,,,-0.0787471898612401,,,0.571665965847322,,,-2.47261009773297,0,,-2.84129462535828,,,,-0.00366666666666663,0.127017543859646,0.00590058479532156,"Back barrier","Mesotidal","Polyhaline",2.71,5.19,32.5465,"West Coast","NA31",3.46,3,-1,0.3,0.43,19.47,1.63,0.03,,,,0,0.833333333333333,0.166666666666667,,
"TJR","Horse Trail",-0.934559754044969,,0.934559754044971,0.920555239646053,-0.000198202848367694,-0.0266627738871501,-0.0147036149350289,-0.00014741602551327,,,,-0.51993576695639,,,0.014004514398919,,,-0.414623987088579,0,,0.566637188377725,,,,-0.00366666666666663,0.127017543859646,0.00590058479532156,"Back barrier","Mesotidal","Polyhaline",2.71,5.19,32.5446,"West Coast","NA31",3.46,3,-1,0.3,0.43,19.47,1.63,0.03,,,,0,1,0,,
"TJR","Model Marsh",-2.38954306326953,,2.38945972993847,2.38945972993847,-0.0199070769187126,-0.0375038910297084,-0.00512241039974286,9.51582508748513e-17,,,,-2.9716131623469,,,0,,,0.582070099077372,0,,2.40255990090641,,,,-0.00366666666666663,0.127017543859646,0.00590058479532156,"Back barrier","Mesotidal","Polyhaline",2.71,5.19,32.5458,"West Coast","NA31",3.46,3,-1,0.3,0.43,19.47,1.63,0.03,,6.59,-3.88,0.125,0.875,0,,
"WEL","WB",-0.0935217412830879,-0.194726653588477,0.0934296966401068,-0.206765093810465,0.00188229840113769,-0.0285949399181569,-0.00682703582360869,-0.000719900072184085,,,-0.00549531865342111,0,0.0677798541963962,0.00148004948601601,0.0102071579468222,-0.0326535131076833,-0.766872189493026,0.10670023095881,0.0630938674821609,,,,,0.157633861339177,0.00138596491228074,0.159321637426899,-0.120923976608185,"Back barrier","Mesotidal","Polyhaline",1.57,2.52,43.3233048333333,"Northeast","NA10",,3,-4,2.77,2.16,39.44,2.9,0.66,,4.4468,-2.8768,0.2,0.6,0.2,58.23,1.39975
"WQB","Section 2",0.00824780619143773,0.12142066926443,-0.00804815807116598,-0.146537517953202,0.0086056903865634,-0.0140727421317769,-0.0211661110131909,-0.000128712767499947,0.739414370129321,,-0.0551456217643104,,-0.0180678599298078,0,0.0101644204984064,-0.0038929022352949,-0.423639446374759,-0.0580272413086816,-6.91980866559173e-05,,,,,0.146461997400094,0.00233333333333326,0.153684210526316,-0.258771929824554,"Back barrier","Microtidal","Polyhaline",3.59,5.1,41.554168,"Northeast","NA25",1.06,3,-6,2.94,0.38,48.7,1.37,0.7,,3.35,0.24,0.51063829787234,0.425531914893617,0.0638297872340425,73.7659574468085,0.16204347826087
"WQB","Section 1",0.183725512929139,0.175212252792928,-0.183565430517269,-1.1124456506251,0.00599204169999576,0.0968159757448402,0.0166306019984173,-0.00359399040398514,-0.669031382829246,,0.51910928123458,,0.0177362140472739,0.155053876804839,0.112724351539928,0,-0.20594940675578,-0.510596021098368,-0.00286946528135403,,,,,0.646235242997141,0.00233333333333326,0.153684210526316,-0.258771929824554,"Back barrier","Microtidal","Polyhaline",3.59,5.1,41.552199,"Northeast","NA25",1.06,3,-6,2.94,0.38,48.7,1.37,0.7,,2.39,1.2,0.815789473684211,0.105263157894737,0.0789473684210526,59.7894736842105,0.0608167894736842
"WQB","Section 3",-0.158189049059401,0.328081729772479,0.158502545264364,-0.223655297999217,0.0148203427707139,0.00591190288502158,-0.00770418224196489,0.00126696849540062,0.164968212490246,,-0.0185838223019888,,0.0171408676803409,-0.0499420283214794,-0.00798219281935552,0.00513964853286667,-0.190201534654131,-0.467686956529891,-0.0133533379563073,,,,,0.436294534680383,0.00233333333333326,0.153684210526316,-0.258771929824554,"Back barrier","Microtidal","Polyhaline",3.59,5.1,41.553776,"Northeast","NA25",1.06,3,-6,2.94,0.38,48.7,1.37,0.7,,2.02,1.57,0.282051282051282,0.58974358974359,0.128205128205128,56.7692307692308,0.13505352991453
