"","Reserve","SiteID","Year","Vegetation_Zone","Region","Geomorphology","tidal_range","salinity","abiotic_cover","live_cover","halophyte","freshwater","EIR","invasive_cover","Richness","SWdiv","salt_ratio"
"188","GRB","GBF",2010,"Low","Northeast","Riverine","Mesotidal","Polyhaline",37.83,62.17,60.17,0.33,0.35,0,2.5,0.28,0.96
"189","GRB","GBF",2010,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",21.81,78.19,77.82,0.11,0.27,0.07,3.48,0.71,0.96
"190","GRB","GBF",2010,"Up","Northeast","Riverine","Mesotidal","Polyhaline",56,44,1.67,16.67,0.32,0,3.33,0.81,0.24
"191","GRB","GBF",2011,"Low","Northeast","Riverine","Mesotidal","Polyhaline",56.33,43.67,43,0.67,0.55,0,1.17,0.08,0.82
"192","GRB","GBF",2011,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",26.05,73.95,73.36,0.04,0.37,0,3.3,0.71,0.93
"193","GRB","GBF",2011,"Up","Northeast","Riverine","Mesotidal","Polyhaline",45.17,54.83,0.33,9.83,0.44,0,3.83,0.76,0.29
"194","GRB","GBF",2013,"Low","Northeast","Riverine","Mesotidal","Polyhaline",68,32,30.83,0,0.68,0,0.83,0.06,0.67
"195","GRB","GBF",2013,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",12.19,87.81,79.69,2.96,0.38,0,3.04,0.58,0.96
"196","GRB","GBF",2013,"Up","Northeast","Riverine","Mesotidal","Polyhaline",51.92,48.08,3.67,23.08,0.28,0,4,0.73,0.34
"197","GRB","GBF",2014,"Low","Northeast","Riverine","Mesotidal","Polyhaline",53.83,46.17,44.33,0,0.52,0,1.33,0.14,0.83
"198","GRB","GBF",2014,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",25.44,74.56,71.41,0.74,0.43,0,2.96,0.58,0.95
"199","GRB","GBF",2014,"Up","Northeast","Riverine","Mesotidal","Polyhaline",47.33,52.67,1.33,17.67,0.29,0.17,3.83,0.76,0.25
"200","GRB","GBF",2016,"Low","Northeast","Riverine","Mesotidal","Polyhaline",62.67,37.33,33.17,0,0.64,0,0.83,0.11,0.67
"201","GRB","GBF",2016,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",24.52,75.48,73.19,0,0.39,0,2.41,0.46,0.96
"202","GRB","GBF",2016,"Up","Northeast","Riverine","Mesotidal","Polyhaline",50.33,49.67,1.33,12.17,0.36,0,3.67,0.77,0.25
"203","GRB","GBF",2017,"Low","Northeast","Riverine","Mesotidal","Polyhaline",39.96,60.04,60.04,0,0.29,0,1.33,0.04,1
"204","GRB","GBF",2017,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",15.11,84.89,83.41,0,0.39,0,2.85,0.57,0.96
"205","GRB","GBF",2017,"Up","Northeast","Riverine","Mesotidal","Polyhaline",54.62,45.39,0.66,10.15,0.35,0,3.17,0.7,0.27
"206","GRB","GBF",2018,"Low","Northeast","Riverine","Mesotidal","Polyhaline",60.67,39.33,39.33,0,0.43,0,1,0,1
"207","GRB","GBF",2018,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",16.06,83.94,83.55,0,0.46,0,2.78,0.51,0.96
"208","GRB","GBF",2018,"Up","Northeast","Riverine","Mesotidal","Polyhaline",47.25,52.75,1.5,10,0.31,0,3.67,0.67,0.22
"209","GRB","GBF",2019,"Low","Northeast","Riverine","Mesotidal","Polyhaline",59.33,40.67,40.67,0,0.38,0,1.33,0.12,1
"210","GRB","GBF",2019,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",20.09,79.91,78.98,0.56,0.49,0,2.93,0.49,0.96
"211","GRB","GBF",2019,"Up","Northeast","Riverine","Mesotidal","Polyhaline",52.02,47.98,2.82,8.66,0.45,0,4.67,0.83,0.35
"212","GRB","GBF",2020,"Low","Northeast","Riverine","Mesotidal","Polyhaline",49.95,50.06,48.3,0,0.31,0,1.83,0.28,0.99
"213","GRB","GBF",2020,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",27.61,72.39,72.07,0,0.46,0,2.78,0.48,0.96
"214","GRB","GBF",2020,"Up","Northeast","Riverine","Mesotidal","Polyhaline",52.34,47.66,1.41,6.84,0.33,0,3.67,0.74,0.22
"215","GRB","GBF",2021,"Low","Northeast","Riverine","Mesotidal","Polyhaline",56.33,43.67,43.67,0,0.54,0,1,0.07,0.83
"216","GRB","GBF",2021,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",21.9,78.1,78.1,0,0.5,0,2.59,0.53,0.96
"217","GRB","GBF",2021,"Up","Northeast","Riverine","Mesotidal","Polyhaline",45.42,54.58,2.33,9,0.31,0,3.67,0.69,0.3
"218","GRB","GBF",2022,"Low","Northeast","Riverine","Mesotidal","Polyhaline",56.33,43.67,43.67,0,0.54,0,0.83,0,0.83
"219","GRB","GBF",2022,"Mid","Northeast","Riverine","Mesotidal","Polyhaline",22.99,77.02,76.9,0,0.45,0,2.74,0.48,0.96
"220","GRB","GBF",2022,"Up","Northeast","Riverine","Mesotidal","Polyhaline",51.25,48.75,1.83,3,0.37,0,3,0.59,0.29
"221","GRB","SP",2010,"Low","Northeast","Bay Front","Mesotidal","Polyhaline",33.42,66.59,64.25,0,0.26,0,1.67,0.16,1
"222","GRB","SP",2010,"Mid","Northeast","Bay Front","Mesotidal","Polyhaline",34.34,65.66,59.18,0.23,0.25,2.88,4.12,0.78,1
"223","GRB","SP",2010,"Up","Northeast","Bay Front","Mesotidal","Polyhaline",39.47,60.53,2.5,20.75,0.29,7.25,10.5,1.42,0.38
"224","GRB","SP",2011,"Low","Northeast","Bay Front","Mesotidal","Polyhaline",31,69,66.5,0,0.31,0,1.67,0.17,1
"225","GRB","SP",2011,"Mid","Northeast","Bay Front","Mesotidal","Polyhaline",30.82,69.18,61.96,0.12,0.35,1.55,3.55,0.68,1
"226","GRB","SP",2011,"Up","Northeast","Bay Front","Mesotidal","Polyhaline",25.57,74.43,2.38,22.32,0.39,10.4,9.8,1.79,0.44
"227","GRB","SP",2013,"Low","Northeast","Bay Front","Mesotidal","Polyhaline",23.45,76.54,67.8,0,0.25,0,2.67,0.36,1
"228","GRB","SP",2013,"Mid","Northeast","Bay Front","Mesotidal","Polyhaline",20.66,79.35,71.38,0.7,0.37,0.06,4.18,0.8,0.96
"229","GRB","SP",2013,"Up","Northeast","Bay Front","Mesotidal","Polyhaline",40.7,59.3,1.8,14.5,0.43,14.2,8.4,1.32,0.42
"230","GRB","SP",2014,"Low","Northeast","Bay Front","Mesotidal","Polyhaline",22.67,77.33,58.5,0,0.38,0,2.83,0.68,1
"231","GRB","SP",2014,"Mid","Northeast","Bay Front","Mesotidal","Polyhaline",24.12,75.88,70.09,1.88,0.3,0,3.52,0.8,0.95
"232","GRB","SP",2014,"Up","Northeast","Bay Front","Mesotidal","Polyhaline",22.33,77.67,0.67,31,0.36,3.33,7.17,1.21,0.39
"233","GRB","SP",2016,"Low","Northeast","Bay Front","Mesotidal","Polyhaline",27,73,64.67,0,0.34,0,2.33,0.47,1
"234","GRB","SP",2016,"Mid","Northeast","Bay Front","Mesotidal","Polyhaline",29.21,70.79,66,0.67,0.32,0.03,3.39,0.78,0.99
"235","GRB","SP",2016,"Up","Northeast","Bay Front","Mesotidal","Polyhaline",39.33,60.67,0.67,17.67,0.29,0.83,7,1.05,0.48
"236","GRB","SP",2017,"Low","Northeast","Bay Front","Mesotidal","Polyhaline",34.93,65.08,45.12,0,0.54,0,3.17,0.64,1
"237","GRB","SP",2017,"Mid","Northeast","Bay Front","Mesotidal","Polyhaline",15.16,84.85,77.31,0.03,0.42,0,3.06,0.62,0.99
"238","GRB","SP",2017,"Up","Northeast","Bay Front","Mesotidal","Polyhaline",36.17,63.83,0.33,20.5,0.41,3.33,7.5,1.39,0.51
"239","GRB","SP",2018,"Low","Northeast","Bay Front","Mesotidal","Polyhaline",50.22,49.78,41.78,0,0.57,0,2.33,0.41,1
"240","GRB","SP",2018,"Mid","Northeast","Bay Front","Mesotidal","Polyhaline",31.12,68.88,61.81,0,0.33,0.03,3.7,0.77,1
"241","GRB","SP",2018,"Up","Northeast","Bay Front","Mesotidal","Polyhaline",36,64.02,1.66,10.34,0.57,0,7.67,1.14,0.62
"242","GRB","SP",2019,"Low","Northeast","Bay Front","Mesotidal","Polyhaline",34.79,65.21,41.24,0,0.58,0,2.33,0.34,1
"243","GRB","SP",2019,"Mid","Northeast","Bay Front","Mesotidal","Polyhaline",22.64,77.37,71.27,0.02,0.41,0.48,3.61,0.7,1
"244","GRB","SP",2019,"Up","Northeast","Bay Front","Mesotidal","Polyhaline",28.72,71.28,1.92,24.07,0.4,0.99,8.83,1.53,0.5
"245","GRB","SP",2020,"Low","Northeast","Bay Front","Mesotidal","Polyhaline",37.42,62.58,45.67,0,0.51,0,2.17,0.34,1
"246","GRB","SP",2020,"Mid","Northeast","Bay Front","Mesotidal","Polyhaline",27.9,72.1,68.21,0.36,0.37,0.61,3.36,0.63,0.99
"247","GRB","SP",2020,"Up","Northeast","Bay Front","Mesotidal","Polyhaline",25.51,74.5,7.6,22.52,0.47,4.85,8.17,1.41,0.53
"248","GRB","SP",2021,"Low","Northeast","Bay Front","Mesotidal","Polyhaline",41.47,58.53,36.67,0,0.53,0,2.5,0.37,1
"249","GRB","SP",2021,"Mid","Northeast","Bay Front","Mesotidal","Polyhaline",23.16,76.84,68.34,0,0.48,1,3.27,0.59,0.99
"250","GRB","SP",2021,"Up","Northeast","Bay Front","Mesotidal","Polyhaline",23.07,76.93,4.61,20.8,0.45,7.12,9,1.4,0.53
"251","GRB","SP",2022,"Low","Northeast","Bay Front","Mesotidal","Polyhaline",67,33,23.17,0,0.72,0,2.17,0.34,1
"252","GRB","SP",2022,"Mid","Northeast","Bay Front","Mesotidal","Polyhaline",19.37,80.63,71.53,0.15,0.43,2,4.12,0.75,0.99
"253","GRB","SP",2022,"Up","Northeast","Bay Front","Mesotidal","Polyhaline",26.53,73.47,4.42,17.98,0.5,5,8.33,1.38,0.54
"254","GTM","0",2012,"Low","Southeast","Back Barrier","Microtidal","Oligohaline",56.67,43.33,43.33,0,0.57,0,1.07,0.04,1
"255","GTM","0",2013,"Low","Southeast","Back Barrier","Microtidal","Oligohaline",70.6,29.4,29.4,0,0.71,0,1.13,0.05,1
"256","GTM","0",2014,"Low","Southeast","Back Barrier","Microtidal","Oligohaline",60.77,39.23,39.23,0,0.61,0,1.14,0.06,1
"257","GTM","0",2015,"Low","Southeast","Back Barrier","Microtidal","Oligohaline",50.47,49.53,49.53,0,0.5,0,1.17,0.07,1
"258","GTM","0",2016,"Low","Southeast","Back Barrier","Microtidal","Oligohaline",51.5,48.5,48.5,0,0.52,0,1,0.06,0.9
"259","GTM","0",2017,"Low","Southeast","Back Barrier","Microtidal","Oligohaline",61.79,38.21,38.21,0,0.62,0,1.14,0.06,1
"260","GTM","0",2018,"Low","Southeast","Back Barrier","Microtidal","Oligohaline",59.6,40.4,40.4,0,0.6,0,1.12,0.08,0.96
"261","GTM","0",2019,"Low","Southeast","Back Barrier","Microtidal","Oligohaline",64.8,35.2,35.2,0,0.65,0,0.97,0.08,0.8
"262","GTM","0",2020,"Low","Southeast","Back Barrier","Microtidal","Oligohaline",59,41,41,0,0.59,0,0.93,0.08,0.8
"263","GTM","1",2012,"Low","Southeast","Riverine","Microtidal","Oligohaline",46.47,53.53,53.53,0,0.46,0,2.13,0.46,1
"264","GTM","1",2013,"Low","Southeast","Riverine","Microtidal","Oligohaline",37.87,62.13,62.13,0,0.38,0,2.2,0.23,1
"265","GTM","1",2014,"Low","Southeast","Riverine","Microtidal","Oligohaline",44.47,55.53,55.53,0,0.44,0,2.05,0.32,1
"266","GTM","1",2015,"Low","Southeast","Riverine","Microtidal","Oligohaline",38.03,61.97,61.97,0,0.38,0,2.03,0.32,1
"267","GTM","1",2016,"Low","Southeast","Riverine","Microtidal","Oligohaline",41.6,58.4,58.4,0,0.42,0,2.37,0.45,0.9
"268","GTM","1",2017,"Low","Southeast","Riverine","Microtidal","Oligohaline",54.2,45.8,45.8,0,0.54,0,2.6,0.48,0.9
"269","GTM","1",2018,"Low","Southeast","Riverine","Microtidal","Oligohaline",43,57,57,0,0.43,0,2.53,0.48,0.87
"270","GTM","1",2019,"Low","Southeast","Riverine","Microtidal","Oligohaline",49.38,50.62,50.62,0,0.49,0,2.6,0.65,0.8
"271","GTM","1",2020,"Low","Southeast","Riverine","Microtidal","Oligohaline",42.13,57.87,57.87,0,0.42,0,2.83,0.67,0.83
"272","GTM","22",2012,"Low","Southeast","Riverine","Microtidal","Oligohaline",55.13,44.87,44.87,0,0.55,0,1.1,0.05,1
"273","GTM","22",2013,"Low","Southeast","Riverine","Microtidal","Oligohaline",70.47,29.53,29.53,0,0.7,0,1.17,0.05,0.97
"274","GTM","22",2014,"Low","Southeast","Riverine","Microtidal","Oligohaline",67.96,32.04,32.04,0,0.68,0,1.11,0.04,0.97
"275","GTM","22",2015,"Low","Southeast","Riverine","Microtidal","Oligohaline",65.03,34.97,34.97,0,0.65,0,1.2,0.1,0.87
"276","GTM","22",2016,"Low","Southeast","Riverine","Microtidal","Oligohaline",50.87,49.13,49.13,0,0.51,0,1.17,0.07,0.87
"277","GTM","22",2017,"Low","Southeast","Riverine","Microtidal","Oligohaline",70.2,29.8,29.8,0,0.7,0,1.4,0.16,0.87
"278","GTM","22",2018,"Low","Southeast","Riverine","Microtidal","Oligohaline",70.8,29.2,29.2,0,0.71,0,1.3,0.16,0.87
"279","GTM","22",2019,"Low","Southeast","Riverine","Microtidal","Oligohaline",64.19,35.81,35.81,0,0.64,0,1.33,0.21,0.83
"280","GTM","22",2020,"Low","Southeast","Riverine","Microtidal","Oligohaline",54.6,45.4,45.4,0,0.55,0,1.37,0.24,0.83
"281","GTM","40",2012,"Low","Southeast","Riverine","Microtidal","Oligohaline",64,36,36,0,0.64,0,1,0,1
"282","GTM","40",2013,"Low","Southeast","Riverine","Microtidal","Oligohaline",83.33,16.67,16.67,0,0.83,0,1,0,1
"283","GTM","40",2014,"Low","Southeast","Riverine","Microtidal","Oligohaline",67.7,32.3,32.3,0,0.68,0,1,0,1
"284","GTM","40",2015,"Low","Southeast","Riverine","Microtidal","Oligohaline",69.97,30.03,30.03,0,0.7,0,1.03,0,1
"285","GTM","40",2016,"Low","Southeast","Riverine","Microtidal","Oligohaline",60.33,39.67,39.67,0,0.6,0,0.93,0,0.93
"286","GTM","40",2017,"Low","Southeast","Riverine","Microtidal","Oligohaline",71.33,28.67,28.67,0,0.71,0,0.87,0,0.87
"287","GTM","40",2018,"Low","Southeast","Riverine","Microtidal","Oligohaline",60,40,40,0,0.6,0,0.93,0,0.93
"288","GTM","40",2019,"Low","Southeast","Riverine","Microtidal","Oligohaline",62.5,37.5,37.5,0,0.62,0,0.87,0,0.87
"289","GTM","40",2020,"Low","Southeast","Riverine","Microtidal","Oligohaline",58.17,41.83,41.83,0,0.58,0,0.83,0,0.83
"290","GTM","46",2012,"Low","Southeast","Riverine","Microtidal","Oligohaline",58,42,14.33,0,0.58,0,2,0.36,1
"291","GTM","46",2013,"Low","Southeast","Riverine","Microtidal","Oligohaline",75.13,24.87,9.4,0,0.75,0,2.53,0.47,1
"292","GTM","46",2014,"Low","Southeast","Riverine","Microtidal","Oligohaline",37.68,62.32,23.44,0,0.38,0,2.59,0.53,1
"293","GTM","46",2015,"Low","Southeast","Riverine","Microtidal","Oligohaline",30.4,69.6,22.71,0,0.3,0,2.6,0.53,1
"294","GTM","46",2016,"Low","Southeast","Riverine","Microtidal","Oligohaline",35.72,64.28,9.1,0,0.36,0,2.14,0.3,0.83
"295","GTM","46",2017,"Low","Southeast","Riverine","Microtidal","Oligohaline",46.1,53.9,14.84,0,0.46,0,2.1,0.5,0.8
"296","GTM","46",2018,"Low","Southeast","Riverine","Microtidal","Oligohaline",51.8,48.2,17.7,0,0.52,0,2.23,0.56,0.83
"297","GTM","46",2019,"Low","Southeast","Riverine","Microtidal","Oligohaline",57.3,42.7,7.98,0,0.57,0,2.03,0.4,0.9
"298","GTM","46",2020,"Low","Southeast","Riverine","Microtidal","Oligohaline",43.76,56.24,6.56,0,0.44,0,1.54,0.25,0.87
"299","GTM","46",2020,"Mid","Southeast","Riverine","Microtidal","Oligohaline",25,75,3.67,21.33,0.25,0,6,1.05,0.34
"300","GTM","46",2020,"Up","Southeast","Riverine","Microtidal","Oligohaline",35.67,64.33,2.4,36.33,0.13,0.07,7.93,1.23,0.39
"301","JAC","Central Segment",2011,"Low","Mid-Atlantic","Bay Front","Microtidal","Oligohaline",59.88,40.12,40.12,0,0.59,0,1.27,0.11,1
"302","JAC","Central Segment",2013,"Low","Mid-Atlantic","Bay Front","Microtidal","Oligohaline",52.57,47.43,47.43,0,0.51,0,1.53,0.18,0.99
"303","JAC","Central Segment",2017,"Low","Mid-Atlantic","Bay Front","Microtidal","Oligohaline",50,50,50,0,0.5,0,1.27,0.11,0.97
"304","JAC","Central Segment",2021,"Low","Mid-Atlantic","Bay Front","Microtidal","Oligohaline",41.66,58.34,58.34,0,0.41,0,1.17,0,1
"305","JAC","South Segment",2011,"Low","Mid-Atlantic","Bay Front","Microtidal","Oligohaline",64.67,35.33,35.33,0,0.63,0,1.22,0.13,0.84
"306","JAC","South Segment",2013,"Low","Mid-Atlantic","Bay Front","Microtidal","Oligohaline",64.06,35.94,35.94,0,0.64,0,1.21,0.12,0.87
"307","JAC","South Segment",2017,"Low","Mid-Atlantic","Bay Front","Microtidal","Oligohaline",62,38,38,0,0.62,0,1.17,0.11,0.83
"308","JAC","South Segment",2021,"Low","Mid-Atlantic","Bay Front","Microtidal","Oligohaline",58.99,41.01,41.01,0,0.59,0,1.17,0.05,0.87
"309","KAC","BS",2010,"Low","West Coast","Back Barrier","Macrotidal","Oligohaline",48.66,51.34,44.48,0,0.13,0,3.2,0.61,0.91
"310","KAC","BS",2010,"Mid","West Coast","Back Barrier","Macrotidal","Oligohaline",0,100,21.64,0,0,0,2.5,0.46,1
"311","KAC","BS",2010,"Up","West Coast","Back Barrier","Macrotidal","Oligohaline",5,95.01,0,86.41,0,0,4.5,0.39,0
"312","KAC","BS",2011,"Low","West Coast","Back Barrier","Macrotidal","Oligohaline",49.28,50.72,44.78,0,0.15,0,3.35,0.57,0.94
"313","KAC","BS",2011,"Mid","West Coast","Back Barrier","Macrotidal","Oligohaline",0,100,25.73,0,0,0,2.5,0.5,0.98
"314","KAC","BS",2011,"Up","West Coast","Back Barrier","Macrotidal","Oligohaline",2.5,97.5,0,87.29,0,0,5.5,0.46,0
"315","KAC","BS",2012,"Low","West Coast","Back Barrier","Macrotidal","Oligohaline",40.18,59.82,53.74,0,0.17,0,3.46,0.64,0.94
"316","KAC","BS",2012,"Mid","West Coast","Back Barrier","Macrotidal","Oligohaline",14.29,85.72,20.84,0,0,0,3,0.48,0.99
"317","KAC","BS",2012,"Up","West Coast","Back Barrier","Macrotidal","Oligohaline",0,100,0,87.04,0,0,4,0.5,0
"318","KAC","BS",2013,"Low","West Coast","Back Barrier","Macrotidal","Oligohaline",43.42,56.58,49.52,0,0.16,0,3.5,0.68,0.96
"319","KAC","BS",2013,"Mid","West Coast","Back Barrier","Macrotidal","Oligohaline",12.5,87.5,17.5,0,0,0,3.5,0.75,0.92
"320","KAC","BS",2013,"Up","West Coast","Back Barrier","Macrotidal","Oligohaline",0,100,0,87.67,0,0,5.5,0.46,0
"321","KAC","BS",2018,"Low","West Coast","Back Barrier","Macrotidal","Oligohaline",38.81,61.19,55.76,0,0.15,0,4.3,0.86,0.98
"322","KAC","BS",2018,"Mid","West Coast","Back Barrier","Macrotidal","Oligohaline",0,100,49.9,19.96,0,0,4,0.36,0.8
"323","KAC","BS",2018,"Up","West Coast","Back Barrier","Macrotidal","Oligohaline",0,100,0,96.26,0,0,3.5,0.43,0
"324","KAC","BS",2020,"Low","West Coast","Back Barrier","Macrotidal","Oligohaline",38.39,61.61,56.81,0,0.18,0,4.19,0.96,0.98
"325","KAC","BS",2020,"Mid","West Coast","Back Barrier","Macrotidal","Oligohaline",0,100,32.55,42.46,0,0,4.5,0.74,0.57
"326","KAC","BS",2020,"Up","West Coast","Back Barrier","Macrotidal","Oligohaline",0,100,0,96.74,0,0,4.5,0.4,0
"327","KAC","CP",2011,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",55.36,44.64,44.64,0,0.03,0,2.7,0.57,0.93
"328","KAC","CP",2011,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",38.88,61.13,54.78,0.44,0,0,3.98,0.77,0.96
"329","KAC","CP",2012,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",55.93,44.08,44.08,0,0.03,0,2.85,0.64,0.93
"330","KAC","CP",2012,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",37.06,62.94,57.08,0.44,0.01,0,3.98,0.81,0.94
"331","KAC","CP",2013,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",52.2,47.8,47.8,0,0.03,0,3.15,0.68,0.89
"332","KAC","CP",2013,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",42.21,57.79,52.55,0.18,0.01,0,3.67,0.71,0.91
"333","KAC","CP",2016,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",54.57,45.44,45.44,0,0.06,0,2.57,0.53,0.93
"334","KAC","CP",2016,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",36.08,63.92,61.18,0,0,0,3.3,0.75,0.9
"335","KAC","CP",2018,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",51.82,48.18,48.18,0,0.05,0,2.59,0.6,0.81
"336","KAC","CP",2018,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",37.06,62.94,61.97,0.02,0.02,0,3.69,0.84,0.96
"337","KAC","CP",2019,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",30.85,69.15,13.75,2.75,0,0,2.75,0.56,0.97
"338","KAC","CP",2020,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",53.99,46.01,46.01,0,0.03,0,2.64,0.61,0.89
"339","KAC","CP",2020,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",37.39,62.61,59.83,0.18,0.03,0,3.37,0.75,0.98
"340","KAC","FR",2010,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",40.71,59.29,53.44,0,0.38,0,2.63,0.42,0.97
"341","KAC","FR",2010,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",56.43,43.57,39.76,0.48,0.05,0,3.23,0.69,0.99
"342","KAC","FR",2010,"Up","West Coast","Bay Front","Macrotidal","Mesohaline",23.1,76.9,13.01,13.38,0,0,5.67,1.18,0.52
"343","KAC","FR",2011,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",41.39,58.61,49.87,0,0.32,0,2.56,0.37,0.9
"344","KAC","FR",2011,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",59.3,40.7,37.31,0.46,0.04,0,3.39,0.68,0.95
"345","KAC","FR",2011,"Up","West Coast","Bay Front","Macrotidal","Mesohaline",24.95,75.04,16.2,8.04,0,0,6.67,1.18,0.54
"346","KAC","FR",2012,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",38.73,61.27,52.82,0,0.38,0,2.79,0.42,0.96
"347","KAC","FR",2012,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",60.95,39.05,34.29,0.31,0.03,0,3.23,0.69,0.97
"348","KAC","FR",2012,"Up","West Coast","Bay Front","Macrotidal","Mesohaline",19.98,80.03,13.36,18.16,0,0,7,1.37,0.43
"349","KAC","FR",2013,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",46.28,53.72,48.16,0,0.34,0,2.5,0.41,0.96
"350","KAC","FR",2013,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",64.82,35.18,31.07,1.51,0.04,0,2.97,0.61,0.97
"351","KAC","FR",2013,"Up","West Coast","Bay Front","Macrotidal","Mesohaline",16.34,83.66,19.75,20.83,0,0,6.67,1.47,0.44
"352","KAC","FR",2019,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",18.41,81.59,69.88,0.82,0.38,0,3.26,0.59,0.95
"353","KAC","FR",2019,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",50.6,49.4,43.96,0.35,0.02,0,3.91,0.84,0.94
"354","KAC","FR",2019,"Up","West Coast","Bay Front","Macrotidal","Mesohaline",6.65,93.35,18.33,28.31,0,0,9.67,1.66,0.33
"355","KAC","FR",2021,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",32.84,67.16,54.54,0.55,0.4,0,3,0.48,0.95
"356","KAC","FR",2021,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",54.04,45.97,40.03,0.25,0.02,0,3.44,0.69,0.93
"357","KAC","FR",2021,"Up","West Coast","Bay Front","Macrotidal","Mesohaline",4.85,95.13,14.15,47.91,0,0,10,1.68,0.36
"358","KAC","SC",2011,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",28.1,71.9,62.7,0,0.31,0,3.35,0.83,0.88
"359","KAC","SC",2011,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",9.28,90.72,65.89,0,0.34,0,3.12,0.49,0.96
"360","KAC","SC",2012,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",18.63,81.38,72.1,0,0.38,0,3.67,0.88,0.93
"361","KAC","SC",2012,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",8.74,91.26,67.68,0,0.34,0,3.75,0.59,0.95
"362","KAC","SC",2013,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",17.85,82.15,70.68,0,0.44,0,3,0.73,0.93
"363","KAC","SC",2013,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",8.04,91.96,67.52,0,0.35,0,2.81,0.42,0.95
"364","KAC","SC",2019,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",18.63,81.37,70.82,0,0.39,0,3.71,0.81,0.94
"365","KAC","SC",2019,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",10.19,89.81,75.98,0,0.41,0,3.31,0.53,0.99
"366","KAC","SC",2021,"Low","West Coast","Bay Front","Macrotidal","Mesohaline",19.13,80.87,72.73,0,0.45,0,3.76,0.77,0.94
"367","KAC","SC",2021,"Mid","West Coast","Bay Front","Macrotidal","Mesohaline",5.56,94.44,76.23,0,0.37,0,3.19,0.41,0.99
"368","MAR","HF1",2012,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",1.87,98.13,98.05,0,0.61,0,2.55,0.62,1
"369","MAR","HF1",2013,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",15.36,84.64,84.64,0,0.57,0,2.33,0.59,1
"370","MAR","HF1",2014,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",29.76,69.87,69.85,0,0.6,0,2.36,0.49,1
"371","MAR","HF1",2015,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",35.73,64.27,64.27,0,0.67,0,2.29,0.64,0.95
"372","MAR","HF1",2016,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",64.25,35.75,35.75,0,0.73,0,1.96,0.44,0.95
"373","MAR","HF1",2017,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",74.65,25.35,25.29,0,0.79,0,1.37,0.27,0.71
"374","MAR","HF1",2018,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",64.13,35.87,34.77,0,0.72,0,1.53,0.27,0.68
"375","MAR","HF1",2019,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",92.64,7.36,7.15,0,0.94,0,0.55,0.11,0.25
"376","MAR","HF1",2020,"Low","Gulf Coast","Bay Front","Microtidal","Polyhaline",89.25,10.75,10.75,0,0.88,0,0.58,0.14,0.25
