"","Reserve","SiteID","Region","Geomorphology","tidal_range","salinity","Metric","SampleSize","term","df","sumsq","meansq","statistic","pvalue"
"202","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","Shannon-Weiner Diversity",548,"Residuals",546,58.6055,0.1073,NA,1
"203","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","Shannon-Weiner Diversity",601,"Year",1,0.0112,0.0112,5.9932,0.0146
"204","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","Shannon-Weiner Diversity",601,"Residuals",599,1.1147,0.0019,NA,1
"205","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","Shannon-Weiner Diversity",60,"Year",1,0.9363,0.9363,12.0957,0.001
"206","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","Shannon-Weiner Diversity",60,"Residuals",58,4.4894,0.0774,NA,1
"207","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","Shannon-Weiner Diversity",240,"Year",1,0.2395,0.2395,2.058,0.1527
"208","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","Shannon-Weiner Diversity",240,"Residuals",238,27.7025,0.1164,NA,1
"209","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","Shannon-Weiner Diversity",75,"Year",1,0.0324,0.0324,0.5532,0.4594
"210","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","Shannon-Weiner Diversity",75,"Residuals",73,4.2794,0.0586,NA,1
"211","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","Salt Ratio",150,"Year",1,1.1316,1.1316,27.8232,0
"212","GND","clmaj","Gulf Coast","Riverine","Microtidal","Oligohaline","Salt Ratio",150,"Residuals",148,6.0191,0.0407,NA,1
"213","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","Salt Ratio",399,"Year",1,1.2603,1.2603,18.3072,0
"214","GTM","22","Southeast","Riverine","Microtidal","Oligohaline","Salt Ratio",399,"Residuals",397,27.3311,0.0688,NA,1
"215","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","Salt Ratio",349,"Year",1,1.5068,1.5068,38.0001,0
"216","GTM","0","Southeast","Back Barrier","Microtidal","Oligohaline","Salt Ratio",349,"Residuals",347,13.7597,0.0397,NA,1
"217","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","Salt Ratio",328,"Year",1,1.0744,1.0744,26.4541,0
"218","GTM","40","Southeast","Riverine","Microtidal","Oligohaline","Salt Ratio",328,"Residuals",326,13.2397,0.0406,NA,1
"219","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","Salt Ratio",375,"Year",1,1.7867,1.7867,36.9472,0
"220","GTM","1","Southeast","Riverine","Microtidal","Oligohaline","Salt Ratio",375,"Residuals",373,18.0373,0.0484,NA,1
"221","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Salt Ratio",270,"Year",1,0.0034,0.0034,0.4631,0.4968
"222","JAC","Central Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Salt Ratio",270,"Residuals",268,1.9818,0.0074,NA,1
"223","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Salt Ratio",270,"Year",1,0.005,0.005,0.0397,0.8422
"224","JAC","South Segment","Mid-Atlantic","Bay Front","Microtidal","Oligohaline","Salt Ratio",270,"Residuals",268,34.069,0.1271,NA,1
"225","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","Salt Ratio",548,"Year",1,1.3633,1.3633,13.1339,3e-04
"226","MAR","MI-W","Gulf Coast","Bay Front","Microtidal","Polyhaline","Salt Ratio",548,"Residuals",546,56.6749,0.1038,NA,1
"227","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","Salt Ratio",548,"Year",1,34.0559,34.0559,270.815,0
"228","MAR","HF1","Gulf Coast","Bay Front","Microtidal","Polyhaline","Salt Ratio",548,"Residuals",546,68.6613,0.1258,NA,1
"229","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","Salt Ratio",600,"Year",1,15.493,15.493,89.3188,0
"230","MAR","HF2","Gulf Coast","Bay Front","Microtidal","Polyhaline","Salt Ratio",600,"Residuals",598,103.7274,0.1735,NA,1
"231","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","Salt Ratio",548,"Year",1,14.0744,14.0744,86.7784,0
"232","MAR","HF3","Gulf Coast","Bay Front","Microtidal","Polyhaline","Salt Ratio",548,"Residuals",546,88.5544,0.1622,NA,1
"233","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","Salt Ratio",601,"Year",1,0.0146,0.0146,0.1238,0.725
"234","NOC","MM","Southeast","Back Barrier","Microtidal","Polyhaline","Salt Ratio",601,"Residuals",599,70.7973,0.1182,NA,1
"235","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","Salt Ratio",60,"Year",1,0,0,0.0997,0.7533
"236","SOS","MI","West Coast","Bay Front","Mesotidal","Polyhaline","Salt Ratio",60,"Residuals",58,4e-04,0,NA,1
"237","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","Salt Ratio",240,"Year",1,0.0015,0.0015,0.2304,0.6317
"238","TJR","V3","West Coast","Back Barrier","Mesotidal","Polyhaline","Salt Ratio",240,"Residuals",238,1.5035,0.0063,NA,1
"239","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","Salt Ratio",75,"Year",1,0,0,0.4737,0.4935
"240","TJR","Horse Trail","West Coast","Back Barrier","Mesotidal","Polyhaline","Salt Ratio",75,"Residuals",73,5e-04,0,NA,1
