"","Reserve","SiteID","Metric","site_variable","Category","SampleSize","term","slope","std.error","statistic","pvalue"
"267","SOS","MI","EMI","Region","West Coast",240,"Year",0.0035,0.0021,1.6658,0.1011
"268","TJR","McCoy North","EMI","Region","West Coast",200,"Year",0,0,NA,1
"269","TJR","McCoy South","EMI","Region","West Coast",960,"Year",0.0012,0.0057,0.2123,0.8321
"270","TJR","South Beach","EMI","Region","West Coast",840,"Year",-0.0032,0.0042,-0.7578,0.4494
"271","TJR","V1","EMI","Region","West Coast",1080,"Year",-0.0025,0.003,-0.8275,0.4087
"272","TJR","V3","EMI","Region","West Coast",960,"Year",-0.001,0.0031,-0.3113,0.7558
"273","TJR","V4","EMI","Region","West Coast",960,"Year",7e-04,0.003,0.2225,0.8241
"274","TJR","Brazo Creek","EMI","Region","West Coast",192,"Year",-0.0176,0.0267,-0.6614,0.5117
"275","TJR","Horse Trail","EMI","Region","West Coast",300,"Year",-2e-04,0.0025,-0.0797,0.9367
"276","TJR","Model Marsh","EMI","Region","West Coast",480,"Year",-0.0199,0.0097,-2.0442,0.0432
"277","WEL","WB","EMI","Region","Northeast",1060,"Year",0.0012,0.0047,0.2487,0.8038
"278","WQB","Section 2","EMI","Region","Northeast",1680,"Year",0.0104,0.0051,2.0621,0.0398
"279","WQB","Section 1","EMI","Region","Northeast",1228,"Year",0.013,0.0057,2.2599,0.0245
"280","WQB","Section 3","EMI","Region","Northeast",1324,"Year",0.0153,0.0062,2.4849,0.0135
"281","ACE","EIN","Richness","Region","Southeast",568,"Year",-0.0011,0.0142,-0.081,0.9356
"282","ACE","EIS","Richness","Region","Southeast",488,"Year",0.0531,0.0199,2.6705,0.0086
"283","APA","PC","Richness","Region","Gulf Coast",1384,"Year",-0.024,0.0522,-0.4594,0.6462
"284","CBM","MB","Richness","Region","Mid-Atlantic",640,"Year",0.0424,0.0351,1.2066,0.2294
"285","CBM","OPC","Richness","Region","Mid-Atlantic",1676,"Year",0.0647,0.0463,1.3979,0.1629
"286","DEL","SJR","Richness","Region","Mid-Atlantic",480,"Year",-0.0617,0.0215,-2.8719,0.0048
"287","ELK","Upper","Richness","Region","West Coast",240,"Year",0.0036,0.0402,0.089,0.9294
"288","ELK","Lower","Richness","Region","West Coast",400,"Year",0.0287,0.0431,0.6663,0.5068
"289","GND","spalt","Richness","Region","Gulf Coast",648,"Year",0.0487,0.0227,2.141,0.0338
"290","GND","juro low","Richness","Region","Gulf Coast",840,"Year",0.0531,0.0206,2.5797,0.0106
"291","GND","juro high","Richness","Region","Gulf Coast",512,"Year",0.3715,0.0835,4.4473,0
"292","GND","juro mid","Richness","Region","Gulf Coast",960,"Year",0.1993,0.0589,3.3858,8e-04
"293","GND","clmaj","Richness","Region","Gulf Coast",600,"Year",0.8767,0.1418,6.1813,0
"294","GRB","SP","Richness","Region","Northeast",1964,"Year",-0.0113,0.0306,-0.3682,0.7129
"295","GRB","GBF","Richness","Region","Northeast",1716,"Year",-0.048,0.0211,-2.2709,0.0237
"296","GRB","BC","Richness","Region","Northeast",1316,"Year",-0.0662,0.0391,-1.692,0.0916
"297","GTM","22","Richness","Region","Southeast",1596,"Year",0.0407,0.0119,3.4136,7e-04
"298","GTM","0","Richness","Region","Southeast",1396,"Year",-0.025,0.0101,-2.4829,0.0135
"299","GTM","40","Richness","Region","Southeast",1312,"Year",-0.025,0.005,-5.02,0
"300","GTM","1","Richness","Region","Southeast",1500,"Year",0.109,0.023,4.748,0
"301","GTM","46","Richness","Region","Southeast",1624,"Year",0.0345,0.0346,0.9985,0.3186
"302","JAC","Central Segment","Richness","Region","Mid-Atlantic",1080,"Year",-0.0118,0.012,-0.985,0.3255
"303","JAC","South Segment","Richness","Region","Mid-Atlantic",1080,"Year",-0.0058,0.016,-0.3638,0.7163
"304","KAC","FR","Richness","Region","West Coast",2184,"Year",0.0556,0.0212,2.6242,0.0089
"305","KAC","BS","Richness","Region","West Coast",1384,"Year",0.1065,0.0277,3.8443,1e-04
"306","KAC","CP","Richness","Region","West Coast",1852,"Year",-0.0554,0.024,-2.3046,0.0216
"307","KAC","SC","Richness","Region","West Coast",644,"Year",0.0212,0.0329,0.6449,0.5199
"308","MAR","MI-W","Richness","Region","Gulf Coast",2192,"Year",-0.109,0.0165,-6.6186,0
"309","MAR","HF1","Richness","Region","Gulf Coast",2192,"Year",-0.2648,0.0172,-15.4415,0
"310","MAR","HF2","Richness","Region","Gulf Coast",2400,"Year",-0.1965,0.0172,-11.4542,0
"311","MAR","HF3","Richness","Region","Gulf Coast",2192,"Year",-0.2051,0.0177,-11.5988,0
"312","NAR","Nag","Richness","Region","Northeast",1248,"Year",-0.0261,0.0193,-1.3498,0.1781
"313","NAR","Coggeshall","Richness","Region","Northeast",1092,"Year",-0.0445,0.0236,-1.885,0.0605
"314","NIW","Segment A","Richness","Region","Southeast",1276,"Year",-0.0071,0.0201,-0.3546,0.7231
"315","NIW","Segment B","Richness","Region","Southeast",1352,"Year",-0.0186,0.0111,-1.6807,0.0937
"316","NOC","MI","Richness","Region","Southeast",3156,"Year",-0.0054,0.0119,-0.4517,0.6516
"317","NOC","MM","Richness","Region","Southeast",2404,"Year",8e-04,0.0043,0.1924,0.8475
"318","SOS","DM","Richness","Region","West Coast",280,"Year",0.0029,0.0586,0.0492,0.9609
"319","SOS","MM","Richness","Region","West Coast",480,"Year",0.039,0.0511,0.7634,0.4468
"320","SOS","HC","Richness","Region","West Coast",488,"Year",0.037,0.0527,0.7015,0.4843
"321","SOS","VM","Richness","Region","West Coast",400,"Year",0.0209,0.0893,0.2342,0.8153
"322","SOS","VI","Richness","Region","West Coast",240,"Year",-0.006,0.0451,-0.1334,0.8944
"323","SOS","MI","Richness","Region","West Coast",240,"Year",0.1487,0.0392,3.7982,4e-04
"324","TJR","McCoy North","Richness","Region","West Coast",200,"Year",0.0255,0.122,0.2086,0.8356
"325","TJR","McCoy South","Richness","Region","West Coast",960,"Year",-0.0985,0.0268,-3.6731,3e-04
"326","TJR","South Beach","Richness","Region","West Coast",840,"Year",-0.0121,0.0323,-0.3756,0.7076
"327","TJR","V1","Richness","Region","West Coast",1080,"Year",0.0061,0.0322,0.1882,0.8509
"328","TJR","V3","Richness","Region","West Coast",960,"Year",-3e-04,0.0406,-0.0062,0.995
"329","TJR","V4","Richness","Region","West Coast",960,"Year",-0.1235,0.0279,-4.4251,0
"330","TJR","Brazo Creek","Richness","Region","West Coast",192,"Year",0.0667,0.1341,0.4971,0.6215
"331","TJR","Horse Trail","Richness","Region","West Coast",300,"Year",-0.0267,0.0617,-0.4322,0.6669
"332","TJR","Model Marsh","Richness","Region","West Coast",480,"Year",-0.0375,0.0605,-0.6199,0.5365
"333","WEL","WB","Richness","Region","Northeast",1060,"Year",-0.0175,0.0249,-0.7027,0.4828
"334","WQB","Section 2","Richness","Region","Northeast",1680,"Year",-0.0052,0.0432,-0.1213,0.9035
"335","WQB","Section 1","Richness","Region","Northeast",1228,"Year",0.1801,0.0431,4.1803,0
"336","WQB","Section 3","Richness","Region","Northeast",1324,"Year",0.0411,0.0482,0.8534,0.3941
"337","ACE","EIN","Shannon-Weiner Diversity","Region","Southeast",568,"Year",-0.0013,0.0058,-0.2221,0.8245
"338","ACE","EIS","Shannon-Weiner Diversity","Region","Southeast",488,"Year",0.0059,0.0069,0.8544,0.3946
"339","APA","PC","Shannon-Weiner Diversity","Region","Gulf Coast",1384,"Year",0.0098,0.0097,1.0021,0.317
"340","CBM","MB","Shannon-Weiner Diversity","Region","Mid-Atlantic",640,"Year",0.0097,0.0096,1.0067,0.3156
"341","CBM","OPC","Shannon-Weiner Diversity","Region","Mid-Atlantic",1676,"Year",0.0139,0.0075,1.8632,0.0631
"342","DEL","SJR","Shannon-Weiner Diversity","Region","Mid-Atlantic",480,"Year",-0.0233,0.0094,-2.4899,0.0142
"343","ELK","Upper","Shannon-Weiner Diversity","Region","West Coast",240,"Year",0.0107,0.0201,0.5303,0.5979
"344","ELK","Lower","Shannon-Weiner Diversity","Region","West Coast",400,"Year",0.0073,0.015,0.4872,0.6272
"345","GND","spalt","Shannon-Weiner Diversity","Region","Gulf Coast",648,"Year",0.0239,0.0115,2.0733,0.0397
"346","GND","juro low","Shannon-Weiner Diversity","Region","Gulf Coast",840,"Year",0.014,0.0085,1.6529,0.0999
"347","GND","juro high","Shannon-Weiner Diversity","Region","Gulf Coast",512,"Year",0.1259,0.0242,5.2014,0
"348","GND","juro mid","Shannon-Weiner Diversity","Region","Gulf Coast",960,"Year",0.0647,0.0176,3.6739,3e-04
"349","GND","clmaj","Shannon-Weiner Diversity","Region","Gulf Coast",600,"Year",0.2381,0.0314,7.5753,0
"350","GRB","SP","Shannon-Weiner Diversity","Region","Northeast",1964,"Year",-0.0044,0.0062,-0.718,0.4731
"351","GRB","GBF","Shannon-Weiner Diversity","Region","Northeast",1716,"Year",-0.0152,0.0059,-2.599,0.0097
"352","GRB","BC","Shannon-Weiner Diversity","Region","Northeast",1316,"Year",-0.0142,0.0085,-1.6621,0.0975
"353","GTM","22","Shannon-Weiner Diversity","Region","Southeast",1596,"Year",0.0281,0.0039,7.2046,0
"354","GTM","0","Shannon-Weiner Diversity","Region","Southeast",1396,"Year",0.0044,0.0041,1.0635,0.2883
"355","GTM","40","Shannon-Weiner Diversity","Region","Southeast",1312,"Year",0,2e-04,-0.267,0.7897
"356","GTM","1","Shannon-Weiner Diversity","Region","Southeast",1500,"Year",0.0531,0.0071,7.4431,0
"357","GTM","46","Shannon-Weiner Diversity","Region","Southeast",1624,"Year",-0.0033,0.0082,-0.4073,0.684
"358","JAC","Central Segment","Shannon-Weiner Diversity","Region","Mid-Atlantic",1080,"Year",-0.0093,0.0045,-2.0667,0.0397
"359","JAC","South Segment","Shannon-Weiner Diversity","Region","Mid-Atlantic",1080,"Year",-0.0071,0.0044,-1.6186,0.1067
"360","KAC","FR","Shannon-Weiner Diversity","Region","West Coast",2184,"Year",0.0105,0.0052,2.0119,0.0447
"361","KAC","BS","Shannon-Weiner Diversity","Region","West Coast",1384,"Year",0.0345,0.0071,4.8713,0
"362","KAC","CP","Shannon-Weiner Diversity","Region","West Coast",1852,"Year",-6e-04,0.0059,-0.097,0.9228
"363","KAC","SC","Shannon-Weiner Diversity","Region","West Coast",644,"Year",-0.0046,0.0088,-0.5238,0.6011
"364","MAR","MI-W","Shannon-Weiner Diversity","Region","Gulf Coast",2192,"Year",-0.0339,0.0049,-6.8769,0
"365","MAR","HF1","Shannon-Weiner Diversity","Region","Gulf Coast",2192,"Year",-0.0705,0.0052,-13.5285,0
"366","MAR","HF2","Shannon-Weiner Diversity","Region","Gulf Coast",2400,"Year",-0.0676,0.0054,-12.565,0
"367","MAR","HF3","Shannon-Weiner Diversity","Region","Gulf Coast",2192,"Year",-0.0551,0.0057,-9.7264,0
"368","NAR","Nag","Shannon-Weiner Diversity","Region","Northeast",1248,"Year",-0.0147,0.0058,-2.5563,0.0111
"369","NAR","Coggeshall","Shannon-Weiner Diversity","Region","Northeast",1092,"Year",-0.0234,0.0073,-3.1931,0.0016
"370","NIW","Segment A","Shannon-Weiner Diversity","Region","Southeast",1276,"Year",-0.0017,0.0045,-0.3695,0.712
"371","NIW","Segment B","Shannon-Weiner Diversity","Region","Southeast",1352,"Year",-0.003,0.0023,-1.293,0.1969
"372","NOC","MI","Shannon-Weiner Diversity","Region","Southeast",3156,"Year",0.0046,0.0034,1.3369,0.1817
"373","NOC","MM","Shannon-Weiner Diversity","Region","Southeast",2404,"Year",0.0013,5e-04,2.4481,0.0146
"374","SOS","DM","Shannon-Weiner Diversity","Region","West Coast",280,"Year",0.0077,0.0096,0.8072,0.4224
"375","SOS","MM","Shannon-Weiner Diversity","Region","West Coast",480,"Year",0.0147,0.0091,1.6222,0.1074
"376","SOS","HC","Shannon-Weiner Diversity","Region","West Coast",488,"Year",0.0224,0.0062,3.6153,4e-04
"377","SOS","VM","Shannon-Weiner Diversity","Region","West Coast",400,"Year",0.0249,0.017,1.4671,0.1456
"378","SOS","VI","Shannon-Weiner Diversity","Region","West Coast",240,"Year",0.0206,0.0109,1.8906,0.0637
"379","SOS","MI","Shannon-Weiner Diversity","Region","West Coast",240,"Year",0.0298,0.0086,3.4779,0.001
"380","TJR","McCoy North","Shannon-Weiner Diversity","Region","West Coast",200,"Year",-0.0128,0.0193,-0.662,0.5111
"381","TJR","McCoy South","Shannon-Weiner Diversity","Region","West Coast",960,"Year",-0.0187,0.0083,-2.2398,0.026
"382","TJR","South Beach","Shannon-Weiner Diversity","Region","West Coast",840,"Year",-0.0011,0.0086,-0.1259,0.8999
"383","TJR","V1","Shannon-Weiner Diversity","Region","West Coast",1080,"Year",6e-04,0.0093,0.0656,0.9477
"384","TJR","V3","Shannon-Weiner Diversity","Region","West Coast",960,"Year",0.011,0.0077,1.4346,0.1527
"385","TJR","V4","Shannon-Weiner Diversity","Region","West Coast",960,"Year",-0.0175,0.0069,-2.5268,0.0122
"386","TJR","Brazo Creek","Shannon-Weiner Diversity","Region","West Coast",192,"Year",0.0682,0.0434,1.5712,0.123
"387","TJR","Horse Trail","Shannon-Weiner Diversity","Region","West Coast",300,"Year",-0.0147,0.0198,-0.7438,0.4594
"388","TJR","Model Marsh","Shannon-Weiner Diversity","Region","West Coast",480,"Year",-0.0051,0.0209,-0.2446,0.8072
"389","WEL","WB","Shannon-Weiner Diversity","Region","Northeast",1060,"Year",-0.0046,0.006,-0.7678,0.4433
"390","WQB","Section 2","Shannon-Weiner Diversity","Region","Northeast",1680,"Year",-0.0202,0.0086,-2.347,0.0194
"391","WQB","Section 1","Shannon-Weiner Diversity","Region","Northeast",1228,"Year",0.0341,0.0102,3.3438,9e-04
"392","WQB","Section 3","Shannon-Weiner Diversity","Region","Northeast",1324,"Year",4e-04,0.0098,0.0437,0.9652
"393","ACE","EIN","Salt Ratio","Region","Southeast",568,"Year",0.0079,0.0074,1.0698,0.2865
"394","ACE","EIS","Salt Ratio","Region","Southeast",488,"Year",0.0221,0.0112,1.9687,0.0513
"395","APA","PC","Salt Ratio","Region","Gulf Coast",1384,"Year",0.007,0.0045,1.5501,0.122
"396","CBM","MB","Salt Ratio","Region","Mid-Atlantic",640,"Year",-2e-04,1e-04,-1.8527,0.0658
"397","CBM","OPC","Salt Ratio","Region","Mid-Atlantic",1676,"Year",0.0023,0.0014,1.6955,0.0907
"398","DEL","SJR","Salt Ratio","Region","Mid-Atlantic",480,"Year",0,0.0074,0,1
"399","ELK","Upper","Salt Ratio","Region","West Coast",240,"Year",0.0083,0.0073,1.1343,0.2613
"400","ELK","Lower","Salt Ratio","Region","West Coast",400,"Year",0,0,NA,1
"401","GND","spalt","Salt Ratio","Region","Gulf Coast",648,"Year",0.0087,0.0193,0.454,0.6504
"402","GND","juro low","Salt Ratio","Region","Gulf Coast",840,"Year",-0.02,0.0129,-1.5562,0.1212
"403","GND","juro high","Salt Ratio","Region","Gulf Coast",512,"Year",-0.0163,0.0127,-1.2816,0.2023
"404","GND","juro mid","Salt Ratio","Region","Gulf Coast",960,"Year",-0.0018,0.0099,-0.177,0.8597
"405","GND","clmaj","Salt Ratio","Region","Gulf Coast",600,"Year",0.0614,0.0116,5.2748,0
"406","GRB","SP","Salt Ratio","Region","Northeast",1964,"Year",0.001,0.0025,0.382,0.7026
"407","GRB","GBF","Salt Ratio","Region","Northeast",1716,"Year",0.0024,0.0043,0.5449,0.5861
"408","GRB","BC","Salt Ratio","Region","Northeast",1316,"Year",0.0021,0.0032,0.6472,0.5179
"409","GTM","22","Salt Ratio","Region","Southeast",1596,"Year",-0.0242,0.0057,-4.2787,0
"410","GTM","0","Salt Ratio","Region","Southeast",1396,"Year",-0.0288,0.0047,-6.1644,0
"411","GTM","40","Salt Ratio","Region","Southeast",1312,"Year",-0.0246,0.0048,-5.1434,0
"412","GTM","1","Salt Ratio","Region","Southeast",1500,"Year",-0.0302,0.005,-6.0784,0
"413","GTM","46","Salt Ratio","Region","Southeast",1624,"Year",-0.0366,0.0051,-7.1995,0
"414","JAC","Central Segment","Salt Ratio","Region","Mid-Atlantic",1080,"Year",-0.0011,0.0016,-0.6805,0.4968
"415","JAC","South Segment","Salt Ratio","Region","Mid-Atlantic",1080,"Year",0.0013,0.0067,0.1993,0.8422
"416","KAC","FR","Salt Ratio","Region","West Coast",2184,"Year",-0.0037,0.0022,-1.671,0.0953
"417","KAC","BS","Salt Ratio","Region","West Coast",1384,"Year",0.0042,0.004,1.0567,0.2914
"418","KAC","CP","Salt Ratio","Region","West Coast",1852,"Year",-1e-04,0.0033,-0.0416,0.9668
"419","KAC","SC","Salt Ratio","Region","West Coast",644,"Year",0.0038,0.0042,0.91,0.3642
"420","MAR","MI-W","Salt Ratio","Region","Gulf Coast",2192,"Year",-0.0173,0.0048,-3.6241,3e-04
"421","MAR","HF1","Salt Ratio","Region","Gulf Coast",2192,"Year",-0.1009,0.0061,-16.4565,0
"422","MAR","HF2","Salt Ratio","Region","Gulf Coast",2400,"Year",-0.0619,0.0065,-9.4509,0
"423","MAR","HF3","Salt Ratio","Region","Gulf Coast",2192,"Year",-0.0649,0.007,-9.3155,0
"424","NAR","Nag","Salt Ratio","Region","Northeast",1248,"Year",1e-04,0,1.5816,0.1148
"425","NAR","Coggeshall","Salt Ratio","Region","Northeast",1092,"Year",0,0,-1.6082,0.1089
"426","NIW","Segment A","Salt Ratio","Region","Southeast",1276,"Year",-8e-04,0.0037,-0.2174,0.828
"427","NIW","Segment B","Salt Ratio","Region","Southeast",1352,"Year",-0.0036,0.0035,-1.0435,0.2975
"428","NOC","MI","Salt Ratio","Region","Southeast",3156,"Year",-0.0155,0.0039,-4.0133,1e-04
"429","NOC","MM","Salt Ratio","Region","Southeast",2404,"Year",-0.0015,0.0042,-0.3519,0.725
"430","SOS","DM","Salt Ratio","Region","West Coast",280,"Year",9e-04,0.0014,0.6341,0.5281
"431","SOS","MM","Salt Ratio","Region","West Coast",480,"Year",0,0,0.0513,0.9592
"432","SOS","HC","Salt Ratio","Region","West Coast",488,"Year",-0.0016,0.0012,-1.3285,0.1865
"433","SOS","VM","Salt Ratio","Region","West Coast",400,"Year",0,2e-04,-0.2242,0.8231
"434","SOS","VI","Salt Ratio","Region","West Coast",240,"Year",0,1e-04,-0.3158,0.7533
"435","SOS","MI","Salt Ratio","Region","West Coast",240,"Year",0,1e-04,-0.3158,0.7533
"436","TJR","McCoy North","Salt Ratio","Region","West Coast",200,"Year",0.0251,0.017,1.4763,0.1464
"437","TJR","McCoy South","Salt Ratio","Region","West Coast",960,"Year",-8e-04,0.0087,-0.0956,0.9239
"438","TJR","South Beach","Salt Ratio","Region","West Coast",840,"Year",8e-04,0.0082,0.0917,0.927
"439","TJR","V1","Salt Ratio","Region","West Coast",1080,"Year",0,0,1.0206,0.3084
"440","TJR","V3","Salt Ratio","Region","West Coast",960,"Year",9e-04,0.0018,0.48,0.6317
"441","TJR","V4","Salt Ratio","Region","West Coast",960,"Year",0,0,0.4899,0.6247
"442","TJR","Brazo Creek","Salt Ratio","Region","West Coast",192,"Year",-0.0059,0.0074,-0.7985,0.4287
"443","TJR","Horse Trail","Salt Ratio","Region","West Coast",300,"Year",-1e-04,2e-04,-0.6882,0.4935
"444","TJR","Model Marsh","Salt Ratio","Region","West Coast",480,"Year",0.0083,0.0059,1.4202,0.1582
"445","WEL","WB","Salt Ratio","Region","Northeast",1060,"Year",-8e-04,0.0012,-0.6947,0.4879
"446","WQB","Section 2","Salt Ratio","Region","Northeast",1680,"Year",-2e-04,0.0039,-0.0499,0.9602
"447","WQB","Section 1","Salt Ratio","Region","Northeast",1228,"Year",0.0053,0.006,0.8738,0.3829
"448","WQB","Section 3","Salt Ratio","Region","Northeast",1324,"Year",8e-04,0.0023,0.3647,0.7156
"449","ACE","EIN","Abiotic Cover","Geomorphology","Riverine",568,"Year",-1.0265,0.8342,-1.2305,0.2206
"450","ACE","EIS","Abiotic Cover","Geomorphology","Riverine",488,"Year",-3.008,0.8553,-3.5167,6e-04
"451","APA","PC","Abiotic Cover","Geomorphology","Bay Front",1384,"Year",1.4137,0.6792,2.0814,0.0381
"452","CBM","MB","Abiotic Cover","Geomorphology","Bay Front",640,"Year",-1.9038,0.3327,-5.7226,0
"453","CBM","OPC","Abiotic Cover","Geomorphology","Riverine",1676,"Year",-2.7255,0.2664,-10.2322,0
"454","DEL","SJR","Abiotic Cover","Geomorphology","Riverine",480,"Year",1.9216,1.0438,1.8409,0.0682
"455","ELK","Upper","Abiotic Cover","Geomorphology","Riverine",240,"Year",1.6885,1.7574,0.9608,0.3406
"456","ELK","Lower","Abiotic Cover","Geomorphology","Riverine",400,"Year",2.1328,1.426,1.4957,0.1379
"457","GND","spalt","Abiotic Cover","Geomorphology","Bay Front",648,"Year",6.1831,0.696,8.8838,0
"458","GND","juro low","Abiotic Cover","Geomorphology","Bay Front",840,"Year",8.2882,0.835,9.9261,0
"459","GND","juro high","Abiotic Cover","Geomorphology","Riverine",512,"Year",6.3744,1.0488,6.0776,0
"460","GND","juro mid","Abiotic Cover","Geomorphology","Riverine",960,"Year",5.4971,0.8013,6.8607,0
"461","GND","clmaj","Abiotic Cover","Geomorphology","Riverine",600,"Year",-1.62,1.1096,-1.46,0.1464
"462","GRB","SP","Abiotic Cover","Geomorphology","Bay Front",1964,"Year",-0.2791,0.2902,-0.9617,0.3367
"463","GRB","GBF","Abiotic Cover","Geomorphology","Riverine",1716,"Year",0.0923,0.3688,0.2503,0.8025
"464","GRB","BC","Abiotic Cover","Geomorphology","Riverine",1316,"Year",0.9726,0.3674,2.6476,0.0085
"465","GTM","22","Abiotic Cover","Geomorphology","Riverine",1596,"Year",-0.5243,0.4727,-1.1092,0.268
"466","GTM","0","Abiotic Cover","Geomorphology","Back Barrier",1396,"Year",-0.0082,0.4399,-0.0186,0.9852
"467","GTM","40","Abiotic Cover","Geomorphology","Riverine",1312,"Year",-1.5523,0.4277,-3.6295,3e-04
"468","GTM","1","Abiotic Cover","Geomorphology","Riverine",1500,"Year",0.4985,0.6082,0.8196,0.413
"469","GTM","46","Abiotic Cover","Geomorphology","Riverine",1624,"Year",0.4449,0.6237,0.7134,0.476
"470","JAC","Central Segment","Abiotic Cover","Geomorphology","Bay Front",1080,"Year",-1.73,0.3264,-5.3004,0
"471","JAC","South Segment","Abiotic Cover","Geomorphology","Bay Front",1080,"Year",-0.5472,0.3952,-1.3845,0.1674
"472","KAC","FR","Abiotic Cover","Geomorphology","Bay Front",2184,"Year",-0.9315,0.3269,-2.8497,0.0045
"473","KAC","BS","Abiotic Cover","Geomorphology","Back Barrier",1384,"Year",-0.9517,0.5607,-1.6974,0.0905
"474","KAC","CP","Abiotic Cover","Geomorphology","Bay Front",1852,"Year",-0.2054,0.5759,-0.3567,0.7215
"475","KAC","SC","Abiotic Cover","Geomorphology","Bay Front",644,"Year",-0.2938,0.5523,-0.5319,0.5955
"476","MAR","MI-W","Abiotic Cover","Geomorphology","Bay Front",2192,"Year",0.2627,0.5228,0.5025,0.6155
"477","MAR","HF1","Abiotic Cover","Geomorphology","Bay Front",2192,"Year",11.6628,0.4915,23.7271,0
"478","MAR","HF2","Abiotic Cover","Geomorphology","Bay Front",2400,"Year",9.0587,0.5072,17.8589,0
"479","MAR","HF3","Abiotic Cover","Geomorphology","Bay Front",2192,"Year",9.1453,0.5736,15.9427,0
"480","NAR","Nag","Abiotic Cover","Geomorphology","Bay Front",1248,"Year",1.5333,0.2409,6.3653,0
"481","NAR","Coggeshall","Abiotic Cover","Geomorphology","Bay Front",1092,"Year",1.9468,0.3146,6.1881,0
"482","NIW","Segment A","Abiotic Cover","Geomorphology","Riverine",1276,"Year",-0.866,0.4203,-2.0606,0.0402
"483","NIW","Segment B","Abiotic Cover","Geomorphology","Riverine",1352,"Year",-0.6443,0.4077,-1.5803,0.115
"484","NOC","MI","Abiotic Cover","Geomorphology","Back Barrier",3156,"Year",-0.9646,0.4118,-2.3423,0.0194
"485","NOC","MM","Abiotic Cover","Geomorphology","Back Barrier",2404,"Year",4.8921,0.3954,12.3717,0
"486","SOS","DM","Abiotic Cover","Geomorphology","Riverine",280,"Year",0,0,NA,1
"487","SOS","MM","Abiotic Cover","Geomorphology","Bay Front",480,"Year",-0.1481,0.1187,-1.2476,0.2146
"488","SOS","HC","Abiotic Cover","Geomorphology","Riverine",488,"Year",0.0204,0.0113,1.8007,0.0743
"489","SOS","VM","Abiotic Cover","Geomorphology","Riverine",400,"Year",0.5124,0.3379,1.5164,0.1326
"490","SOS","VI","Abiotic Cover","Geomorphology","Riverine",240,"Year",0.0241,0.0233,1.0348,0.305
"491","SOS","MI","Abiotic Cover","Geomorphology","Bay Front",240,"Year",0.354,0.2125,1.6658,0.1011
"492","TJR","McCoy North","Abiotic Cover","Geomorphology","Back Barrier",200,"Year",-0.3605,1.972,-0.1828,0.8557
"493","TJR","McCoy South","Abiotic Cover","Geomorphology","Back Barrier",960,"Year",1.59,0.7452,2.1336,0.0339
"494","TJR","South Beach","Abiotic Cover","Geomorphology","Back Barrier",840,"Year",0.3842,0.9055,0.4243,0.6718
"495","TJR","V1","Abiotic Cover","Geomorphology","Back Barrier",1080,"Year",1.3032,0.3628,3.5916,4e-04
"496","TJR","V3","Abiotic Cover","Geomorphology","Back Barrier",960,"Year",-0.7436,0.539,-1.3796,0.169
"497","TJR","V4","Abiotic Cover","Geomorphology","Back Barrier",960,"Year",-0.8342,0.3987,-2.0923,0.0375
"498","TJR","Brazo Creek","Abiotic Cover","Geomorphology","Back Barrier",192,"Year",-2.5517,1.9698,-1.2954,0.2016
"499","TJR","Horse Trail","Abiotic Cover","Geomorphology","Back Barrier",300,"Year",-0.9346,0.6614,-1.413,0.1619
"500","TJR","Model Marsh","Abiotic Cover","Geomorphology","Back Barrier",480,"Year",-2.3896,1.8067,-1.3226,0.1885
"501","WEL","WB","Abiotic Cover","Geomorphology","Back Barrier",1060,"Year",-0.1246,0.2521,-0.4943,0.6215
"502","WQB","Section 2","Abiotic Cover","Geomorphology","Back Barrier",1680,"Year",-0.0243,0.5248,-0.0463,0.9631
"503","WQB","Section 1","Abiotic Cover","Geomorphology","Back Barrier",1228,"Year",0.2457,0.6572,0.3738,0.7088
"504","WQB","Section 3","Abiotic Cover","Geomorphology","Back Barrier",1324,"Year",-0.1486,0.5319,-0.2793,0.7802
"505","ACE","EIN","Live Cover","Geomorphology","Riverine",568,"Year",1.0266,0.8342,1.2306,0.2205
"506","ACE","EIS","Live Cover","Geomorphology","Riverine",488,"Year",3.0081,0.8554,3.5168,6e-04
"507","APA","PC","Live Cover","Geomorphology","Bay Front",1384,"Year",-1.4134,0.6792,-2.081,0.0382
"508","CBM","MB","Live Cover","Geomorphology","Bay Front",640,"Year",1.9037,0.3327,5.7224,0
"509","CBM","OPC","Live Cover","Geomorphology","Riverine",1676,"Year",2.7254,0.2664,10.2315,0
"510","DEL","SJR","Live Cover","Geomorphology","Riverine",480,"Year",-1.9216,1.0438,-1.8409,0.0682
"511","ELK","Upper","Live Cover","Geomorphology","Riverine",240,"Year",-1.6885,1.7574,-0.9608,0.3407
"512","ELK","Lower","Live Cover","Geomorphology","Riverine",400,"Year",-2.1327,1.4259,-1.4957,0.138
"513","GND","spalt","Live Cover","Geomorphology","Bay Front",648,"Year",-6.1831,0.696,-8.8838,0
"514","GND","juro low","Live Cover","Geomorphology","Bay Front",840,"Year",-8.2882,0.835,-9.9261,0
"515","GND","juro high","Live Cover","Geomorphology","Riverine",512,"Year",-6.3744,1.0488,-6.0776,0
"516","GND","juro mid","Live Cover","Geomorphology","Riverine",960,"Year",-5.4971,0.8013,-6.8607,0
"517","GND","clmaj","Live Cover","Geomorphology","Riverine",600,"Year",1.62,1.1096,1.46,0.1464
