"","Reserve","SiteID","Vegetation_Zone","Metric","SampleSize","term","slope","std.error","statistic","pvalue"
"293","NAR","Coggeshall","Up","Halophyte Cover",39,"Year",-2.0758,0.7742,-2.6813,0.0109
"294","NIW","Segment A","Mid","Halophyte Cover",130,"Year",0.4904,0.6698,0.7321,0.4654
"295","NIW","Segment A","Low","Halophyte Cover",164,"Year",1.747,0.5364,3.2572,0.0014
"296","NIW","Segment A","Up","Halophyte Cover",25,"Year",-1.895,1.5518,-1.2212,0.2344
"297","NIW","Segment B","Mid","Halophyte Cover",78,"Year",0.3346,0.8128,0.4117,0.6817
"298","NIW","Segment B","Low","Halophyte Cover",260,"Year",1.0333,0.4665,2.2151,0.0276
"299","NOC","MI","Low","Halophyte Cover",681,"Year",0.7701,0.4468,1.7234,0.0853
"300","NOC","MI","Mid","Halophyte Cover",108,"Year",2.1895,0.777,2.818,0.0058
"301","NOC","MM","Low","Halophyte Cover",601,"Year",-4.9886,0.397,-12.5654,0
"302","SOS","DM","Low","Halophyte Cover",19,"Year",0.8634,0.8881,0.9722,0.3446
"303","SOS","DM","Mid","Halophyte Cover",51,"Year",0.3997,0.4735,0.8442,0.4027
"304","SOS","MM","Low","Halophyte Cover",60,"Year",-0.0248,0.2068,-0.12,0.9049
"305","SOS","MM","Mid","Halophyte Cover",60,"Year",-0.1299,0.6604,-0.1967,0.8448
"306","SOS","HC","Mid","Halophyte Cover",92,"Year",0.2849,0.7492,0.3803,0.7046
"307","SOS","HC","Low","Halophyte Cover",30,"Year",3.1992,0.8929,3.5829,0.0013
"308","SOS","VM","Mid","Halophyte Cover",40,"Year",-0.0114,0.997,-0.0114,0.991
"309","SOS","VM","Low","Halophyte Cover",60,"Year",-0.4088,0.6498,-0.6292,0.5317
"310","SOS","VI","Low","Halophyte Cover",54,"Year",1.0257,0.3439,2.9827,0.0043
"311","SOS","VI","Mid","Halophyte Cover",6,"Year",0.7278,0.3642,1.9983,0.1163
"312","SOS","MI","Low","Halophyte Cover",60,"Year",1.9614,0.3791,5.1737,0
"313","TJR","McCoy North","Mid","Halophyte Cover",40,"Year",-0.1853,2.1351,-0.0868,0.9313
"314","TJR","McCoy North","Up","Halophyte Cover",10,"Year",2.7103,0.7432,3.647,0.0065
"315","TJR","McCoy South","Up","Halophyte Cover",90,"Year",-0.4242,0.994,-0.4267,0.6706
"316","TJR","McCoy South","Mid","Halophyte Cover",90,"Year",-0.6542,1.0755,-0.6083,0.5446
"317","TJR","McCoy South","Low","Halophyte Cover",60,"Year",-1.2693,0.9474,-1.3397,0.1856
"318","TJR","South Beach","Mid","Halophyte Cover",180,"Year",-0.6346,1.0193,-0.6226,0.5344
"319","TJR","South Beach","Up","Halophyte Cover",30,"Year",-0.4606,0.5827,-0.7904,0.4359
"320","TJR","V1","Low","Halophyte Cover",40,"Year",0.4227,0.9155,0.4618,0.6469
"321","TJR","V1","Mid","Halophyte Cover",160,"Year",-2.0759,0.5141,-4.0381,1e-04
"322","TJR","V1","Up","Halophyte Cover",70,"Year",-0.5132,0.3011,-1.7044,0.0929
"323","TJR","V3","Mid","Halophyte Cover",240,"Year",0.6115,0.5463,1.1193,0.2641
"324","TJR","V4","Mid","Halophyte Cover",230,"Year",0.809,0.414,1.9542,0.0519
"325","TJR","V4","Low","Halophyte Cover",10,"Year",1.4655,0.7603,1.9274,0.0901
"326","TJR","Brazo Creek","Mid","Halophyte Cover",40,"Year",1.2285,1.8222,0.6742,0.5043
"327","TJR","Brazo Creek","Up","Halophyte Cover",8,"Year",5.7325,8.6475,0.6629,0.532
"328","TJR","Horse Trail","Mid","Halophyte Cover",75,"Year",0.9206,0.6623,1.39,0.1687
"329","TJR","Model Marsh","Mid","Halophyte Cover",105,"Year",2.1204,2.0043,1.0579,0.2926
"330","TJR","Model Marsh","Low","Halophyte Cover",15,"Year",4.2733,3.1809,1.3435,0.2021
"331","WEL","WB","Low","Halophyte Cover",53,"Year",-0.3708,0.657,-0.5643,0.575
"332","WEL","WB","Mid","Halophyte Cover",159,"Year",0.1682,0.3705,0.454,0.6505
"333","WEL","WB","Up","Halophyte Cover",53,"Year",-1.2757,1.0724,-1.1896,0.2397
"334","WQB","Section 2","Low","Halophyte Cover",216,"Year",0.4186,0.7938,0.5274,0.5985
"335","WQB","Section 2","Mid","Halophyte Cover",180,"Year",-0.6615,0.3798,-1.7414,0.0833
"336","WQB","Section 2","Up","Halophyte Cover",24,"Year",-1.808,0.8134,-2.2227,0.0368
"337","WQB","Section 1","Mid","Halophyte Cover",36,"Year",-2.0306,0.9302,-2.1829,0.036
"338","WQB","Section 1","Low","Halophyte Cover",251,"Year",-1.0623,0.7835,-1.3558,0.1764
"339","WQB","Section 3","Mid","Halophyte Cover",195,"Year",-1.1259,0.7288,-1.5449,0.124
"340","WQB","Section 3","Up","Halophyte Cover",45,"Year",2.0206,1.0121,1.9964,0.0522
"341","WQB","Section 3","Low","Halophyte Cover",91,"Year",-0.4697,0.9958,-0.4717,0.6383
"342","WQB","Section 1","Up","Halophyte Cover",20,"Year",-3.309,1.2092,-2.7365,0.0136
"343","ACE","EIN","Mid","Freshwater Cover",107,"Year",0,0,NA,1
"344","ACE","EIN","Low","Freshwater Cover",35,"Year",0,0,NA,1
"345","ACE","EIS","Mid","Freshwater Cover",117,"Year",0,0,NA,1
"346","ACE","EIS","Low","Freshwater Cover",5,"Year",0,0,NA,1
"347","APA","PC","Low","Freshwater Cover",138,"Year",-1.5981,0.6113,-2.6144,0.0099
"348","APA","PC","Mid","Freshwater Cover",195,"Year",-0.0703,0.0405,-1.7338,0.0846
"349","APA","PC","Up","Freshwater Cover",13,"Year",0,0,NA,1
"350","CBM","MB","Low","Freshwater Cover",121,"Year",0,0,NA,1
"351","CBM","MB","Mid","Freshwater Cover",39,"Year",0,0,NA,1
"352","CBM","OPC","Low","Freshwater Cover",154,"Year",3.1918,0.5018,6.361,0
"353","CBM","OPC","Mid","Freshwater Cover",265,"Year",2.1219,0.2821,7.5221,0
"354","DEL","SJR","Up","Freshwater Cover",4,"Year",0,0,NA,1
"355","DEL","SJR","Low","Freshwater Cover",32,"Year",0,0,NA,1
"356","DEL","SJR","Mid","Freshwater Cover",84,"Year",0,0,NA,1
"357","ELK","Upper","Up","Freshwater Cover",6,"Year",0,0,NA,1
"358","ELK","Upper","Low","Freshwater Cover",45,"Year",0,0,NA,1
"359","ELK","Lower","Up","Freshwater Cover",8,"Year",0,0,NA,1
"360","ELK","Lower","Low","Freshwater Cover",90,"Year",0,0,NA,1
"361","ELK","Upper","Mid","Freshwater Cover",9,"Year",0,0,NA,1
"362","GND","spalt","Low","Freshwater Cover",96,"Year",0,0,NA,1
"363","GND","spalt","Mid","Freshwater Cover",66,"Year",0,0,NA,1
"364","GND","juro low","Low","Freshwater Cover",36,"Year",0,0,NA,1
"365","GND","juro low","Mid","Freshwater Cover",174,"Year",0,0,NA,1
"366","GND","juro high","Mid","Freshwater Cover",116,"Year",0.0676,0.276,0.2451,0.8068
"367","GND","juro high","Low","Freshwater Cover",12,"Year",0.1786,0.1148,1.5554,0.1509
"368","GND","juro mid","Mid","Freshwater Cover",204,"Year",0.4097,0.2088,1.9615,0.0512
"369","GND","juro mid","Low","Freshwater Cover",18,"Year",0,0,NA,1
"370","GND","juro mid","Up","Freshwater Cover",18,"Year",-7,3.6969,-1.8935,0.0765
"371","GND","clmaj","Up","Freshwater Cover",150,"Year",-3.2417,1.1438,-2.8341,0.0052
"372","GRB","SP","Low","Freshwater Cover",66,"Year",0,0,NA,1
"373","GRB","SP","Mid","Freshwater Cover",363,"Year",-0.0446,0.0347,-1.283,0.2003
"374","GRB","SP","Up","Freshwater Cover",62,"Year",-0.1971,0.7649,-0.2577,0.7976
"375","GRB","GBF","Low","Freshwater Cover",66,"Year",-0.0356,0.0156,-2.2791,0.026
"376","GRB","GBF","Mid","Freshwater Cover",297,"Year",-0.071,0.0733,-0.9695,0.3331
"377","GRB","GBF","Up","Freshwater Cover",66,"Year",-1.0141,0.4785,-2.1196,0.0379
"378","GRB","BC","Low","Freshwater Cover",109,"Year",0,0,NA,1
"379","GRB","BC","Mid","Freshwater Cover",154,"Year",-0.0305,0.0149,-2.0426,0.0428
"380","GRB","BC","Up","Freshwater Cover",66,"Year",-1.426,0.4619,-3.0873,0.003
"381","GTM","22","Low","Freshwater Cover",399,"Year",0,0,NA,1
"382","GTM","0","Low","Freshwater Cover",349,"Year",0,0,NA,1
"383","GTM","40","Low","Freshwater Cover",328,"Year",0,0,NA,1
"384","GTM","1","Low","Freshwater Cover",375,"Year",0,0,NA,1
"385","GTM","46","Low","Freshwater Cover",388,"Year",0,0,NA,1
"386","JAC","Central Segment","Low","Freshwater Cover",270,"Year",0,0,NA,1
"387","JAC","South Segment","Low","Freshwater Cover",270,"Year",0,0,NA,1
"388","KAC","FR","Mid","Freshwater Cover",416,"Year",-0.0293,0.0586,-0.4998,0.6175
"389","KAC","FR","Low","Freshwater Cover",112,"Year",0.0728,0.0316,2.3074,0.0229
"390","KAC","FR","Up","Freshwater Cover",18,"Year",2.8698,1.3117,2.1879,0.0439
"391","KAC","BS","Low","Freshwater Cover",322,"Year",0,0,NA,1
"392","KAC","BS","Mid","Freshwater Cover",12,"Year",4.0805,1.7064,2.3912,0.0379
"393","KAC","BS","Up","Freshwater Cover",12,"Year",1.1734,0.4925,2.3822,0.0385
"394","KAC","CP","Mid","Freshwater Cover",313,"Year",-0.0252,0.0362,-0.6963,0.4867
"395","KAC","CP","Low","Freshwater Cover",150,"Year",0,0,NA,1
"396","KAC","SC","Low","Freshwater Cover",81,"Year",0,0,NA,1
"397","KAC","SC","Mid","Freshwater Cover",80,"Year",0,0,NA,1
"398","MAR","MI-W","Low","Freshwater Cover",548,"Year",0,0,NA,1
"399","MAR","HF1","Low","Freshwater Cover",548,"Year",0,0,NA,1
"400","MAR","HF2","Low","Freshwater Cover",600,"Year",0,0,NA,1
"401","MAR","HF3","Low","Freshwater Cover",548,"Year",0,0,NA,1
"402","NAR","Nag","Low","Freshwater Cover",65,"Year",0,0,NA,1
"403","NAR","Nag","Mid","Freshwater Cover",208,"Year",0,0,NA,1
"404","NAR","Nag","Up","Freshwater Cover",39,"Year",0,0,NA,1
"405","NAR","Coggeshall","Mid","Freshwater Cover",143,"Year",0,0,NA,1
"406","NAR","Coggeshall","Low","Freshwater Cover",91,"Year",0,0,NA,1
"407","NAR","Coggeshall","Up","Freshwater Cover",39,"Year",0,0,NA,1
"408","NIW","Segment A","Mid","Freshwater Cover",130,"Year",0.0195,0.0569,0.3427,0.7324
"409","NIW","Segment A","Low","Freshwater Cover",164,"Year",0,0,NA,1
"410","NIW","Segment A","Up","Freshwater Cover",25,"Year",0.4331,0.2927,1.4794,0.1526
"411","NIW","Segment B","Mid","Freshwater Cover",78,"Year",-0.3815,0.2044,-1.867,0.0658
"412","NIW","Segment B","Low","Freshwater Cover",260,"Year",0,0,NA,1
"413","NOC","MI","Low","Freshwater Cover",681,"Year",0,0,NA,1
"414","NOC","MI","Mid","Freshwater Cover",108,"Year",0,0,NA,1
"415","NOC","MM","Low","Freshwater Cover",601,"Year",0,0,NA,1
"416","SOS","DM","Low","Freshwater Cover",19,"Year",-0.4699,0.4903,-0.9584,0.3513
"417","SOS","DM","Mid","Freshwater Cover",51,"Year",0.1403,0.0882,1.5914,0.118
"418","SOS","MM","Low","Freshwater Cover",60,"Year",0,0,NA,1
"419","SOS","MM","Mid","Freshwater Cover",60,"Year",0,0,NA,1
"420","SOS","HC","Mid","Freshwater Cover",92,"Year",0.2121,0.1185,1.7903,0.0768
"421","SOS","HC","Low","Freshwater Cover",30,"Year",0,0,NA,1
"422","SOS","VM","Mid","Freshwater Cover",40,"Year",0.0076,0.0368,0.2076,0.8366
"423","SOS","VM","Low","Freshwater Cover",60,"Year",0,0,NA,1
"424","SOS","VI","Low","Freshwater Cover",54,"Year",0,0,NA,1
"425","SOS","VI","Mid","Freshwater Cover",6,"Year",0,0,NA,1
"426","SOS","MI","Low","Freshwater Cover",60,"Year",0,0,NA,1
"427","TJR","McCoy North","Mid","Freshwater Cover",40,"Year",0,0,NA,1
"428","TJR","McCoy North","Up","Freshwater Cover",10,"Year",0,0,NA,1
"429","TJR","McCoy South","Up","Freshwater Cover",90,"Year",0,0,NA,1
"430","TJR","McCoy South","Mid","Freshwater Cover",90,"Year",0,0,NA,1
"431","TJR","McCoy South","Low","Freshwater Cover",60,"Year",0,0,NA,1
"432","TJR","South Beach","Mid","Freshwater Cover",180,"Year",0,0,NA,1
"433","TJR","South Beach","Up","Freshwater Cover",30,"Year",0,0,NA,1
"434","TJR","V1","Low","Freshwater Cover",40,"Year",0,0,NA,1
"435","TJR","V1","Mid","Freshwater Cover",160,"Year",0,0,NA,1
"436","TJR","V1","Up","Freshwater Cover",70,"Year",0,0,NA,1
"437","TJR","V3","Mid","Freshwater Cover",240,"Year",0,0,NA,1
"438","TJR","V4","Mid","Freshwater Cover",230,"Year",0,0,NA,1
"439","TJR","V4","Low","Freshwater Cover",10,"Year",0,0,NA,1
"440","TJR","Brazo Creek","Mid","Freshwater Cover",40,"Year",0,0,NA,1
"441","TJR","Brazo Creek","Up","Freshwater Cover",8,"Year",0,0,NA,1
"442","TJR","Horse Trail","Mid","Freshwater Cover",75,"Year",0,0,NA,1
"443","TJR","Model Marsh","Mid","Freshwater Cover",105,"Year",0,0,NA,1
"444","TJR","Model Marsh","Low","Freshwater Cover",15,"Year",0,0,NA,1
"445","WEL","WB","Low","Freshwater Cover",53,"Year",0,0,NA,1
"446","WEL","WB","Mid","Freshwater Cover",159,"Year",0,0,NA,1
"447","WEL","WB","Up","Freshwater Cover",53,"Year",0.0758,0.466,0.1626,0.8715
"448","WQB","Section 2","Low","Freshwater Cover",216,"Year",0,0,NA,1
"449","WQB","Section 2","Mid","Freshwater Cover",180,"Year",0,0,NA,1
"450","WQB","Section 2","Up","Freshwater Cover",24,"Year",0,0,NA,1
"451","WQB","Section 1","Mid","Freshwater Cover",36,"Year",0,0,NA,1
"452","WQB","Section 1","Low","Freshwater Cover",251,"Year",0,0,NA,1
"453","WQB","Section 3","Mid","Freshwater Cover",195,"Year",0,0,NA,1
"454","WQB","Section 3","Up","Freshwater Cover",45,"Year",-0.3897,0.1397,-2.7888,0.0078
"455","WQB","Section 3","Low","Freshwater Cover",91,"Year",0,0,NA,1
"456","WQB","Section 1","Up","Freshwater Cover",20,"Year",2.6833,2.0258,1.3245,0.2019
"457","ACE","EIN","Mid","EMI",107,"Year",0.0102,0.01,1.0256,0.3074
"458","ACE","EIN","Low","EMI",35,"Year",0.0139,0.013,1.0635,0.2953
"459","ACE","EIS","Mid","EMI",117,"Year",0.0306,0.0087,3.4998,7e-04
"460","ACE","EIS","Low","EMI",5,"Year",0.0077,0.0383,0.201,0.8536
"461","APA","PC","Low","EMI",138,"Year",0.0131,0.011,1.1962,0.2337
"462","APA","PC","Mid","EMI",195,"Year",0.0017,0.0063,0.2731,0.785
"463","APA","PC","Up","EMI",13,"Year",-1e-04,0,-2.2227,0.0481
"464","CBM","MB","Low","EMI",121,"Year",-0.0084,0.0044,-1.9372,0.0551
"465","CBM","MB","Mid","EMI",39,"Year",0.032,0.0123,2.6103,0.013
"466","CBM","OPC","Low","EMI",154,"Year",0.0127,0.0032,3.9256,1e-04
"467","CBM","OPC","Mid","EMI",265,"Year",0.0063,0.0015,4.1801,0
"468","DEL","SJR","Up","EMI",4,"Year",0,0,NA,1
"469","DEL","SJR","Low","EMI",32,"Year",0.0228,0.0173,1.3152,0.1984
"470","DEL","SJR","Mid","EMI",84,"Year",0.0057,0.0213,0.2667,0.7904
"471","ELK","Upper","Up","EMI",6,"Year",0.0268,0.0659,0.4062,0.7054
"472","ELK","Upper","Low","EMI",45,"Year",0.0092,0.0218,0.4228,0.6746
"473","ELK","Lower","Up","EMI",8,"Year",0.033,0.0342,0.9647,0.3719
"474","ELK","Lower","Low","EMI",90,"Year",0.0076,0.0154,0.4964,0.6208
"475","ELK","Upper","Mid","EMI",9,"Year",0,0,NA,1
"476","GND","spalt","Low","EMI",96,"Year",0.043,0.0091,4.7423,0
"477","GND","spalt","Mid","EMI",66,"Year",0.0804,0.0121,6.6469,0
"478","GND","juro low","Low","EMI",36,"Year",0.0631,0.0197,3.204,0.0029
"479","GND","juro low","Mid","EMI",174,"Year",0.0858,0.0102,8.4326,0
"480","GND","juro high","Mid","EMI",116,"Year",0.0708,0.0105,6.7687,0
"481","GND","juro high","Low","EMI",12,"Year",0.0016,0.0262,0.0627,0.9512
"482","GND","juro mid","Mid","EMI",204,"Year",0.0574,0.0079,7.2547,0
"483","GND","juro mid","Low","EMI",18,"Year",-0.0097,0.0119,-0.8135,0.4279
"484","GND","juro mid","Up","EMI",18,"Year",-0.0213,0.023,-0.9241,0.3691
"485","GND","clmaj","Up","EMI",150,"Year",0,0,NA,1
"486","GRB","SP","Low","EMI",66,"Year",0.0342,0.0081,4.2447,1e-04
"487","GRB","SP","Mid","EMI",363,"Year",0.0119,0.0048,2.4654,0.0141
"488","GRB","SP","Up","EMI",62,"Year",0.0128,0.0086,1.4861,0.1425
"489","GRB","GBF","Low","EMI",66,"Year",-0.0049,0.0098,-0.4986,0.6198
"490","GRB","GBF","Mid","EMI",297,"Year",0.0133,0.006,2.205,0.0282
"491","GRB","GBF","Up","EMI",66,"Year",8e-04,0.0064,0.1307,0.8964
"492","GRB","BC","Low","EMI",109,"Year",0.0082,0.0065,1.2636,0.2091
"493","GRB","BC","Mid","EMI",154,"Year",0.0161,0.0081,1.99,0.0484
"494","GRB","BC","Up","EMI",66,"Year",0.0125,0.0058,2.1663,0.034
"495","GTM","22","Low","EMI",399,"Year",-0.0052,0.0047,-1.1092,0.268
"496","GTM","0","Low","EMI",349,"Year",-1e-04,0.0044,-0.0186,0.9852
"497","GTM","40","Low","EMI",328,"Year",-0.0155,0.0043,-3.6295,3e-04
"498","GTM","1","Low","EMI",375,"Year",0.005,0.0061,0.8196,0.413
"499","GTM","46","Low","EMI",388,"Year",0.0079,0.0067,1.1726,0.2417
"500","JAC","Central Segment","Low","EMI",270,"Year",-0.0171,0.0034,-5.0013,0
"501","JAC","South Segment","Low","EMI",270,"Year",-0.0041,0.004,-1.0221,0.3076
"502","KAC","FR","Mid","EMI",416,"Year",-0.0021,0.0018,-1.162,0.2459
"503","KAC","FR","Low","EMI",112,"Year",0.0039,0.0091,0.4282,0.6694
"504","KAC","FR","Up","EMI",18,"Year",0,0,NA,1
"505","KAC","BS","Low","EMI",322,"Year",0.002,0.0038,0.5317,0.5953
"506","KAC","BS","Mid","EMI",12,"Year",0,0,NA,1
"507","KAC","BS","Up","EMI",12,"Year",0,0,NA,1
"508","KAC","CP","Mid","EMI",313,"Year",0.0023,0.0015,1.6063,0.1092
"509","KAC","CP","Low","EMI",150,"Year",0.0014,0.0018,0.769,0.4431
"510","KAC","SC","Low","EMI",81,"Year",0.0081,0.0081,0.9994,0.3206
"511","KAC","SC","Mid","EMI",80,"Year",0.0048,0.0116,0.4156,0.6789
"512","MAR","MI-W","Low","EMI",548,"Year",-0.0208,0.0052,-4.0107,1e-04
"513","MAR","HF1","Low","EMI",548,"Year",0.0431,0.0047,9.1677,0
"514","MAR","HF2","Low","EMI",600,"Year",0.0278,0.0052,5.3971,0
"515","MAR","HF3","Low","EMI",548,"Year",0.0539,0.0057,9.4815,0
"516","NAR","Nag","Low","EMI",65,"Year",0.0325,0.0052,6.3099,0
"517","NAR","Nag","Mid","EMI",208,"Year",0.0139,0.0057,2.4284,0.016
"518","NAR","Nag","Up","EMI",39,"Year",0.0073,0.0079,0.9343,0.3562
"519","NAR","Coggeshall","Mid","EMI",143,"Year",0.0078,0.0058,1.3526,0.1783
"520","NAR","Coggeshall","Low","EMI",91,"Year",0.0175,0.0056,3.1508,0.0022
"521","NAR","Coggeshall","Up","EMI",39,"Year",-0.0074,0.0051,-1.4626,0.152
"522","NIW","Segment A","Mid","EMI",130,"Year",0,0,NA,1
"523","NIW","Segment A","Low","EMI",164,"Year",-0.0141,0.005,-2.8302,0.0052
"524","NIW","Segment A","Up","EMI",25,"Year",-0.03,0.0161,-1.8654,0.0749
"525","NIW","Segment B","Mid","EMI",78,"Year",0.0026,0.0012,2.2094,0.0302
"526","NIW","Segment B","Low","EMI",260,"Year",-0.0106,0.0046,-2.3049,0.022
"527","NOC","MI","Low","EMI",681,"Year",-0.0084,0.0041,-2.0394,0.0418
"528","NOC","MI","Mid","EMI",108,"Year",0,0,NA,1
"529","NOC","MM","Low","EMI",601,"Year",0.0361,0.0037,9.6477,0
"530","SOS","DM","Low","EMI",19,"Year",0,0,NA,1
"531","SOS","DM","Mid","EMI",51,"Year",0.0034,0.0037,0.9322,0.3558
"532","SOS","MM","Low","EMI",60,"Year",0.0017,0.0019,0.8566,0.3952
"533","SOS","MM","Mid","EMI",60,"Year",7e-04,0.0064,0.1068,0.9153
"534","SOS","HC","Mid","EMI",92,"Year",-0.0031,0.005,-0.6286,0.5312
"535","SOS","HC","Low","EMI",30,"Year",5e-04,3e-04,1.4474,0.1589
"536","SOS","VM","Mid","EMI",40,"Year",0.0028,0.0126,0.2223,0.8253
"537","SOS","VM","Low","EMI",60,"Year",0.0083,0.0056,1.4906,0.1415
"538","SOS","VI","Low","EMI",54,"Year",3e-04,3e-04,1.0349,0.3055
"539","SOS","VI","Mid","EMI",6,"Year",0,0,NA,1
"540","SOS","MI","Low","EMI",60,"Year",0.0035,0.0021,1.6658,0.1011
"541","TJR","McCoy North","Mid","EMI",40,"Year",0,0,NA,1
"542","TJR","McCoy North","Up","EMI",10,"Year",0,0,NA,1
"543","TJR","McCoy South","Up","EMI",90,"Year",0,0,NA,1
"544","TJR","McCoy South","Mid","EMI",90,"Year",-0.0035,0.0019,-1.79,0.0769
"545","TJR","McCoy South","Low","EMI",60,"Year",0.01,0.0097,1.0314,0.3066
"546","TJR","South Beach","Mid","EMI",180,"Year",-0.0037,0.0048,-0.7638,0.446
"547","TJR","South Beach","Up","EMI",30,"Year",0,0,NA,1
"548","TJR","V1","Low","EMI",40,"Year",-0.0042,0.0092,-0.4618,0.6469
"549","TJR","V1","Mid","EMI",160,"Year",-0.0031,0.0035,-0.8744,0.3832
"550","TJR","V1","Up","EMI",70,"Year",0,0,NA,1
"551","TJR","V3","Mid","EMI",240,"Year",-0.001,0.0031,-0.3113,0.7558
"552","TJR","V4","Mid","EMI",230,"Year",0.0013,0.0031,0.4307,0.6671
"553","TJR","V4","Low","EMI",10,"Year",-0.0147,0.0076,-1.9278,0.09
"554","TJR","Brazo Creek","Mid","EMI",40,"Year",-0.0212,0.0318,-0.6646,0.5103
"555","TJR","Brazo Creek","Up","EMI",8,"Year",0,0,NA,1
"556","TJR","Horse Trail","Mid","EMI",75,"Year",-2e-04,0.0025,-0.0797,0.9367
"557","TJR","Model Marsh","Mid","EMI",105,"Year",-0.0148,0.006,-2.4775,0.0149
"558","TJR","Model Marsh","Low","EMI",15,"Year",-0.0555,0.0291,-1.9042,0.0793
"559","WEL","WB","Low","EMI",53,"Year",0.002,0.0065,0.3143,0.7545
"560","WEL","WB","Mid","EMI",159,"Year",0.0032,0.0048,0.6809,0.4969
"561","WEL","WB","Up","EMI",53,"Year",-0.0059,0.0056,-1.0432,0.3018
"562","WQB","Section 2","Low","EMI",216,"Year",0.0035,0.0023,1.5112,0.1322
"563","WQB","Section 2","Mid","EMI",180,"Year",0.0189,0.0082,2.308,0.0221
"564","WQB","Section 2","Up","EMI",24,"Year",-0.0178,0.0078,-2.2799,0.0327
"565","WQB","Section 1","Mid","EMI",36,"Year",0.0115,0.0187,0.615,0.5427
"566","WQB","Section 1","Low","EMI",251,"Year",0.011,0.0057,1.9286,0.0549
"567","WQB","Section 3","Mid","EMI",195,"Year",0.0109,0.0074,1.4759,0.1416
"568","WQB","Section 3","Up","EMI",45,"Year",0.0244,0.0079,3.0928,0.0035
"569","WQB","Section 3","Low","EMI",91,"Year",0.0071,0.005,1.4056,0.1633
"570","WQB","Section 1","Up","EMI",20,"Year",-0.059,0.0126,-4.6902,2e-04
"571","ACE","EIN","Mid","Richness",107,"Year",0.013,0.0174,0.7439,0.4586
"572","ACE","EIN","Low","Richness",35,"Year",-0.0448,0.0206,-2.1718,0.0372
"573","ACE","EIS","Mid","Richness",117,"Year",0.0636,0.0195,3.2565,0.0015
"574","ACE","EIS","Low","Richness",5,"Year",-0.1765,0.1449,-1.218,0.3103
"575","APA","PC","Low","Richness",138,"Year",-0.0249,0.0764,-0.3261,0.7449
"576","APA","PC","Mid","Richness",195,"Year",-0.0472,0.0703,-0.6706,0.5033
"577","APA","PC","Up","Richness",13,"Year",-0.0664,0.071,-0.9364,0.3692
"578","CBM","MB","Low","Richness",121,"Year",0.0882,0.0397,2.223,0.0281
"579","CBM","MB","Mid","Richness",39,"Year",-0.0823,0.0688,-1.1953,0.2396
"580","CBM","OPC","Low","Richness",154,"Year",0.0638,0.0517,1.2345,0.2189
"581","CBM","OPC","Mid","Richness",265,"Year",0.0709,0.0605,1.1722,0.2422
"582","DEL","SJR","Up","Richness",4,"Year",-0.4,0.1414,-2.8284,0.1056
"583","DEL","SJR","Low","Richness",32,"Year",-0.0563,0.0296,-1.8988,0.0672
"584","DEL","SJR","Mid","Richness",84,"Year",-0.0476,0.0265,-1.7968,0.0761
"585","ELK","Upper","Up","Richness",6,"Year",-0.1071,0.0676,-1.5848,0.1882
"586","ELK","Upper","Low","Richness",45,"Year",0.019,0.0318,0.5992,0.5522
"587","ELK","Lower","Up","Richness",8,"Year",0.0367,0.1268,0.2893,0.7821
"588","ELK","Lower","Low","Richness",90,"Year",0.0224,0.0263,0.8513,0.3969
"589","ELK","Upper","Mid","Richness",9,"Year",0,0,NA,1
"590","GND","spalt","Low","Richness",96,"Year",0.0196,0.0301,0.6521,0.5159
"591","GND","spalt","Mid","Richness",66,"Year",0.0909,0.0336,2.7027,0.0088
"592","GND","juro low","Low","Richness",36,"Year",0.081,0.0602,1.3441,0.1878
"593","GND","juro low","Mid","Richness",174,"Year",0.0473,0.0199,2.371,0.0188
"594","GND","juro high","Mid","Richness",116,"Year",0.3746,0.0921,4.0672,1e-04
"595","GND","juro high","Low","Richness",12,"Year",0.3429,0.0666,5.1481,4e-04
"596","GND","juro mid","Mid","Richness",204,"Year",0.1412,0.0607,2.3276,0.0209
"597","GND","juro mid","Low","Richness",18,"Year",0.2952,0.2228,1.3251,0.2038
"598","GND","juro mid","Up","Richness",18,"Year",0.7619,0.1226,6.2123,0
"599","GND","clmaj","Up","Richness",150,"Year",0.8767,0.1418,6.1813,0
"600","GRB","SP","Low","Richness",66,"Year",0.0323,0.031,1.043,0.3009
"601","GRB","SP","Mid","Richness",363,"Year",-0.0267,0.0245,-1.0866,0.2779
"602","GRB","SP","Up","Richness",62,"Year",-0.0739,0.1151,-0.6418,0.5234
"603","GRB","GBF","Low","Richness",66,"Year",-0.0473,0.0302,-1.5674,0.122
"604","GRB","GBF","Mid","Richness",297,"Year",-0.0564,0.0245,-2.3063,0.0218
"605","GRB","GBF","Up","Richness",66,"Year",-0.0107,0.0519,-0.2064,0.8371
"606","GRB","BC","Low","Richness",109,"Year",0.041,0.0169,2.4264,0.0169
"607","GRB","BC","Mid","Richness",154,"Year",-0.0842,0.044,-1.9122,0.0577
"608","GRB","BC","Up","Richness",66,"Year",-0.1866,0.0907,-2.0578,0.0437
"609","GTM","22","Low","Richness",399,"Year",0.0407,0.0119,3.4136,7e-04
"610","GTM","0","Low","Richness",349,"Year",-0.025,0.0101,-2.4829,0.0135
"611","GTM","40","Low","Richness",328,"Year",-0.025,0.005,-5.02,0
"612","GTM","1","Low","Richness",375,"Year",0.109,0.023,4.748,0
