"","Reserve","SiteID","Metric","SampleSize","term","slope","std.error","statistic","pvalue"
"259","GND","juro mid","Live Cover",240,"Year:Vegetation_ZoneMid",-5.6134,2.8315,-1.9825,0.0486
"260","GND","juro mid","Live Cover",240,"Year:Vegetation_ZoneUp",-7.9619,3.8386,-2.0742,0.0392
"261","GRB","SP","Live Cover",491,"(Intercept)",4328.629,1555.7222,2.7824,0.0056
"262","GRB","SP","Live Cover",491,"Year",-2.1152,0.7715,-2.7417,0.0063
"263","GRB","SP","Live Cover",491,"Vegetation_ZoneMid",-5591.9192,1691.2484,-3.3064,0.001
"264","GRB","SP","Live Cover",491,"Vegetation_ZoneUp",-5656.2998,2285.2045,-2.4752,0.0137
"265","GRB","SP","Live Cover",491,"Year:Vegetation_ZoneMid",2.7788,0.8387,3.3131,0.001
"266","GRB","SP","Live Cover",491,"Year:Vegetation_ZoneUp",2.8078,1.1332,2.4778,0.0136
"267","GRB","GBF","Live Cover",429,"(Intercept)",852.2189,1656.1874,0.5146,0.6071
"268","GRB","GBF","Live Cover",429,"Year",-0.4001,0.8213,-0.4872,0.6264
"269","GRB","GBF","Live Cover",429,"Vegetation_ZoneMid",-643.3626,1830.984,-0.3514,0.7255
"270","GRB","GBF","Live Cover",429,"Vegetation_ZoneUp",-986.0576,2342.2026,-0.421,0.674
"271","GRB","GBF","Live Cover",429,"Year:Vegetation_ZoneMid",0.3356,0.908,0.3696,0.7119
"272","GRB","GBF","Live Cover",429,"Year:Vegetation_ZoneUp",0.4912,1.1615,0.4228,0.6726
"273","GRB","BC","Live Cover",329,"(Intercept)",1071.6651,1211.7836,0.8844,0.3772
"274","GRB","BC","Live Cover",329,"Year",-0.503,0.6009,-0.8371,0.4032
"275","GRB","BC","Live Cover",329,"Vegetation_ZoneMid",1353.9554,1578.0149,0.858,0.3915
"276","GRB","BC","Live Cover",329,"Vegetation_ZoneUp",1497.3892,1962.7566,0.7629,0.4461
"277","GRB","BC","Live Cover",329,"Year:Vegetation_ZoneMid",-0.6647,0.7826,-0.8494,0.3963
"278","GRB","BC","Live Cover",329,"Year:Vegetation_ZoneUp",-0.7474,0.9734,-0.7678,0.4432
"279","GTM","46","Live Cover",406,"(Intercept)",1648.8741,1336.0025,1.2342,0.2179
"280","GTM","46","Live Cover",406,"Year",-0.7897,0.6628,-1.1916,0.2341
"281","GTM","46","Live Cover",406,"Vegetation_ZoneMid",21.4152,18.722,1.1439,0.2534
"282","GTM","46","Live Cover",406,"Vegetation_ZoneUp",10.7485,8.8553,1.2138,0.2255
"283","KAC","FR","Live Cover",546,"(Intercept)",-3076.0178,1365.415,-2.2528,0.0247
"284","KAC","FR","Live Cover",546,"Year",1.5587,0.6778,2.2995,0.0219
"285","KAC","FR","Live Cover",546,"Vegetation_ZoneMid",1663.8615,1539.3611,1.0809,0.2802
"286","KAC","FR","Live Cover",546,"Vegetation_ZoneUp",-508.412,3686.8401,-0.1379,0.8904
"287","KAC","FR","Live Cover",546,"Year:Vegetation_ZoneMid",-0.8366,0.7642,-1.0948,0.2741
"288","KAC","FR","Live Cover",546,"Year:Vegetation_ZoneUp",0.2625,1.8303,0.1434,0.886
"289","KAC","BS","Live Cover",346,"(Intercept)",-1927.3986,1134.7526,-1.6985,0.0903
"290","KAC","BS","Live Cover",346,"Year",0.9852,0.5634,1.7486,0.0813
"291","KAC","BS","Live Cover",346,"Vegetation_ZoneMid",1012.7406,5970.3361,0.1696,0.8654
"292","KAC","BS","Live Cover",346,"Vegetation_ZoneUp",1352.1987,5970.3361,0.2265,0.821
"293","KAC","BS","Live Cover",346,"Year:Vegetation_ZoneMid",-0.4837,2.9644,-0.1632,0.8705
"294","KAC","BS","Live Cover",346,"Year:Vegetation_ZoneUp",-0.6506,2.9644,-0.2195,0.8264
"295","KAC","CP","Live Cover",463,"(Intercept)",-389.4974,2017.2957,-0.1931,0.847
"296","KAC","CP","Live Cover",463,"Year",0.2162,1.0012,0.2159,0.8291
"297","KAC","CP","Live Cover",463,"Vegetation_ZoneMid",-98.6157,2450.8459,-0.0402,0.9679
"298","KAC","CP","Live Cover",463,"Year:Vegetation_ZoneMid",0.0567,1.2164,0.0466,0.9628
"299","KAC","SC","Live Cover",161,"(Intercept)",-853.5915,1531.9542,-0.5572,0.5782
"300","KAC","SC","Live Cover",161,"Year",0.463,0.7601,0.609,0.5434
"301","KAC","SC","Live Cover",161,"Vegetation_ZoneMid",604.2216,2186.9523,0.2763,0.7827
"302","KAC","SC","Live Cover",161,"Year:Vegetation_ZoneMid",-0.2937,1.0852,-0.2707,0.787
"303","NAR","Nag","Live Cover",312,"(Intercept)",6663.6571,1018.0574,6.5455,0
"304","NAR","Nag","Live Cover",312,"Year",-3.2656,0.505,-6.4667,0
"305","NAR","Nag","Live Cover",312,"Vegetation_ZoneMid",-4338.1822,1166.3313,-3.7195,2e-04
"306","NAR","Nag","Live Cover",312,"Vegetation_ZoneUp",-4753.7619,1662.4808,-2.8594,0.0045
"307","NAR","Nag","Live Cover",312,"Year:Vegetation_ZoneMid",2.155,0.5785,3.7249,2e-04
"308","NAR","Nag","Live Cover",312,"Year:Vegetation_ZoneUp",2.3643,0.8246,2.8671,0.0044
"309","NAR","Coggeshall","Live Cover",273,"(Intercept)",3618.5819,1084.2776,3.3373,0.001
"310","NAR","Coggeshall","Live Cover",273,"Year",-1.7569,0.5378,-3.2665,0.0012
"311","NAR","Coggeshall","Live Cover",273,"Vegetation_ZoneMid",851.2155,1387.0126,0.6137,0.5399
"312","NAR","Coggeshall","Live Cover",273,"Vegetation_ZoneUp",-406.2244,1979.6111,-0.2052,0.8376
"313","NAR","Coggeshall","Live Cover",273,"Year:Vegetation_ZoneMid",-0.4192,0.688,-0.6092,0.5429
"314","NAR","Coggeshall","Live Cover",273,"Year:Vegetation_ZoneUp",0.207,0.9819,0.2108,0.8332
"315","NIW","Segment A","Live Cover",319,"(Intercept)",-3463.8249,1120.4488,-3.0915,0.0022
"316","NIW","Segment A","Live Cover",319,"Year",1.747,0.5565,3.1391,0.0019
"317","NIW","Segment A","Live Cover",319,"Vegetation_ZoneMid",3233.6442,1688.3422,1.9153,0.0564
"318","NIW","Segment A","Live Cover",319,"Vegetation_ZoneUp",8884.778,3332.8232,2.6658,0.0081
"319","NIW","Segment A","Live Cover",319,"Year:Vegetation_ZoneMid",-1.5958,0.8386,-1.903,0.058
"320","NIW","Segment A","Live Cover",319,"Year:Vegetation_ZoneUp",-4.4084,1.6549,-2.6639,0.0081
"321","NIW","Segment B","Live Cover",338,"(Intercept)",-2226.9101,918.8987,-2.4235,0.0159
"322","NIW","Segment B","Live Cover",338,"Year",1.134,0.4564,2.4847,0.0135
"323","NIW","Segment B","Live Cover",338,"Vegetation_ZoneMid",4519.9116,1912.8402,2.3629,0.0187
"324","NIW","Segment B","Live Cover",338,"Year:Vegetation_ZoneMid",-2.2375,0.9501,-2.3551,0.0191
"325","NOC","MI","Live Cover",789,"(Intercept)",-1489.5682,867.6313,-1.7168,0.0864
"326","NOC","MI","Live Cover",789,"Year",0.7701,0.4307,1.7879,0.0742
"327","NOC","MI","Live Cover",789,"Vegetation_ZoneMid",-2834.7313,2353.1457,-1.2047,0.2287
"328","NOC","MI","Live Cover",789,"Year:Vegetation_ZoneMid",1.4194,1.1682,1.215,0.2247
"329","SOS","DM","Live Cover",70,"(Intercept)",100.4425,1.0936,91.8446,0
"330","SOS","DM","Live Cover",70,"Year",-2e-04,5e-04,-0.4042,0.6874
"331","SOS","DM","Live Cover",70,"Vegetation_ZoneMid",0.6983,1.2764,0.5471,0.5862
"332","SOS","DM","Live Cover",70,"Year:Vegetation_ZoneMid",-3e-04,6e-04,-0.5462,0.5867
"333","SOS","MM","Live Cover",120,"(Intercept)",433.8983,330.3998,1.3133,0.1917
"334","SOS","MM","Live Cover",120,"Year",-0.1663,0.1639,-1.015,0.3122
"335","SOS","MM","Live Cover",120,"Vegetation_ZoneMid",-1268.4642,467.2558,-2.7147,0.0076
"336","SOS","MM","Live Cover",120,"Year:Vegetation_ZoneMid",0.6294,0.2318,2.7158,0.0076
"337","SOS","HC","Live Cover",122,"(Intercept)",196.4271,48.115,4.0824,1e-04
"338","SOS","HC","Live Cover",122,"Year",-0.0479,0.0239,-2.0069,0.047
"339","SOS","HC","Live Cover",122,"Vegetation_ZoneMid",-72.7592,54.5891,-1.3329,0.1851
"340","SOS","HC","Live Cover",122,"Year:Vegetation_ZoneMid",0.0361,0.0271,1.3346,0.1846
"341","SOS","VM","Live Cover",100,"(Intercept)",1772.5608,874.897,2.026,0.0455
"342","SOS","VM","Live Cover",100,"Year",-0.8312,0.4339,-1.9157,0.0584
"343","SOS","VM","Live Cover",100,"Vegetation_ZoneMid",-1602.1708,1383.3336,-1.1582,0.2497
"344","SOS","VM","Live Cover",100,"Year:Vegetation_ZoneMid",0.7961,0.686,1.1605,0.2487
"345","SOS","VI","Live Cover",60,"(Intercept)",154.5438,50.1826,3.0796,0.0032
"346","SOS","VI","Live Cover",60,"Year",-0.0271,0.0249,-1.089,0.2808
"347","SOS","VI","Live Cover",60,"Vegetation_ZoneMid",-57.2179,158.6913,-0.3606,0.7198
"348","SOS","VI","Live Cover",60,"Year:Vegetation_ZoneMid",0.0284,0.0787,0.3613,0.7193
"349","TJR","McCoy North","Live Cover",50,"(Intercept)",432.9524,3949.4489,0.1096,0.9132
"350","TJR","McCoy North","Live Cover",50,"Year",-0.186,1.9586,-0.095,0.9247
"351","TJR","McCoy North","Live Cover",50,"Vegetation_ZoneUp",-5559.5379,8831.2362,-0.6295,0.5321
"352","TJR","McCoy North","Live Cover",50,"Year:Vegetation_ZoneUp",2.7333,4.3795,0.6241,0.5356
"353","TJR","McCoy South","Live Cover",240,"(Intercept)",2605.1809,2230.6883,1.1679,0.244
"354","TJR","McCoy South","Live Cover",240,"Year",-1.2693,1.1062,-1.1474,0.2524
"355","TJR","McCoy South","Live Cover",240,"Vegetation_ZoneMid",-843.4971,2879.8062,-0.2929,0.7699
"356","TJR","McCoy South","Live Cover",240,"Vegetation_ZoneUp",2600.4694,2879.8062,0.903,0.3675
"357","TJR","McCoy South","Live Cover",240,"Year:Vegetation_ZoneMid",0.4384,1.4281,0.307,0.7591
"358","TJR","McCoy South","Live Cover",240,"Year:Vegetation_ZoneUp",-1.2936,1.4281,-0.9058,0.366
"359","TJR","South Beach","Live Cover",210,"(Intercept)",804.0082,1854.6168,0.4335,0.6651
"360","TJR","South Beach","Live Cover",210,"Year",-0.3714,0.9197,-0.4038,0.6868
"361","TJR","South Beach","Live Cover",210,"Vegetation_ZoneUp",217.7373,4906.8548,0.0444,0.9646
"362","TJR","South Beach","Live Cover",210,"Year:Vegetation_ZoneUp",-0.0892,2.4333,-0.0367,0.9708
"363","TJR","V1","Live Cover",270,"(Intercept)",-776.7545,1796.3931,-0.4324,0.6658
"364","TJR","V1","Live Cover",270,"Year",0.4227,0.8908,0.4745,0.6355
"365","TJR","V1","Live Cover",270,"Vegetation_ZoneMid",5048.3192,2008.4285,2.5136,0.0125
"366","TJR","V1","Live Cover",270,"Vegetation_ZoneUp",1923.6785,2251.8979,0.8542,0.3937
"367","TJR","V1","Live Cover",270,"Year:Vegetation_ZoneMid",-2.4986,0.996,-2.5087,0.0127
"368","TJR","V1","Live Cover",270,"Year:Vegetation_ZoneUp",-0.9456,1.1167,-0.8467,0.3979
"369","TJR","V4","Live Cover",240,"(Intercept)",-2862.8871,3947.559,-0.7252,0.469
"370","TJR","V4","Live Cover",240,"Year",1.4655,1.9576,0.7486,0.4549
"371","TJR","V4","Live Cover",240,"Vegetation_ZoneMid",1323.5409,4032.4624,0.3282,0.743
"372","TJR","V4","Live Cover",240,"Year:Vegetation_ZoneMid",-0.6589,1.9997,-0.3295,0.7421
"373","TJR","Brazo Creek","Live Cover",48,"(Intercept)",-3696.9595,4054.9157,-0.9117,0.3669
"374","TJR","Brazo Creek","Live Cover",48,"Year",1.8785,2.0089,0.9351,0.3548
"375","TJR","Brazo Creek","Live Cover",48,"Vegetation_ZoneUp",-8159.591,9932.4743,-0.8215,0.4158
"376","TJR","Brazo Creek","Live Cover",48,"Year:Vegetation_ZoneUp",4.0345,4.9207,0.8199,0.4167
"377","TJR","Model Marsh","Live Cover",120,"(Intercept)",-8567.72,10315.2868,-0.8306,0.4079
"378","TJR","Model Marsh","Live Cover",120,"Year",4.2733,5.1091,0.8364,0.4046
"379","TJR","Model Marsh","Live Cover",120,"Vegetation_ZoneMid",4357.4286,11027.5055,0.3951,0.6935
"380","TJR","Model Marsh","Live Cover",120,"Year:Vegetation_ZoneMid",-2.153,5.4619,-0.3942,0.6942
"381","WEL","WB","Live Cover",265,"(Intercept)",332.9396,1114.7487,0.2987,0.7654
"382","WEL","WB","Live Cover",265,"Year",-0.1216,0.5539,-0.2196,0.8263
"383","WEL","WB","Live Cover",265,"Vegetation_ZoneMid",-850.1175,1287.2009,-0.6604,0.5096
"384","WEL","WB","Live Cover",265,"Vegetation_ZoneUp",80.4337,1576.4927,0.051,0.9593
"385","WEL","WB","Live Cover",265,"Year:Vegetation_ZoneMid",0.422,0.6395,0.6598,0.51
"386","WEL","WB","Live Cover",265,"Year:Vegetation_ZoneUp",-0.0351,0.7833,-0.0448,0.9643
"387","WQB","Section 2","Live Cover",420,"(Intercept)",-1358.0744,1265.2908,-1.0733,0.2837
"388","WQB","Section 2","Live Cover",420,"Year",0.6961,0.6279,1.1087,0.2682
"389","WQB","Section 2","Live Cover",420,"Vegetation_ZoneMid",2671.5779,1874.3142,1.4254,0.1548
"390","WQB","Section 2","Live Cover",420,"Vegetation_ZoneUp",5510.0341,4063.5998,1.3559,0.1759
"391","WQB","Section 2","Live Cover",420,"Year:Vegetation_ZoneMid",-1.3097,0.9301,-1.4082,0.1598
"392","WQB","Section 2","Live Cover",420,"Year:Vegetation_ZoneUp",-2.7185,2.0161,-1.3484,0.1783
"393","WQB","Section 1","Live Cover",307,"(Intercept)",531.4073,1459.2033,0.3642,0.716
"394","WQB","Section 1","Live Cover",307,"Year",-0.2379,0.7243,-0.3284,0.7428
"395","WQB","Section 1","Live Cover",307,"Vegetation_ZoneMid",4052.8602,3692.1214,1.0977,0.2732
"396","WQB","Section 1","Live Cover",307,"Vegetation_ZoneUp",310.5686,5970.6667,0.052,0.9586
"397","WQB","Section 1","Live Cover",307,"Year:Vegetation_ZoneMid",-2.001,1.8322,-1.0921,0.2757
"398","WQB","Section 1","Live Cover",307,"Year:Vegetation_ZoneUp",-0.1476,2.9616,-0.0498,0.9603
"399","WQB","Section 3","Live Cover",331,"(Intercept)",-530.0723,1710.8643,-0.3098,0.7569
"400","WQB","Section 3","Live Cover",331,"Year",0.2809,0.8491,0.3308,0.741
"401","WQB","Section 3","Live Cover",331,"Vegetation_ZoneMid",1851.6736,2045.7951,0.9051,0.3661
"402","WQB","Section 3","Live Cover",331,"Vegetation_ZoneUp",-2769.8116,2798.0889,-0.9899,0.323
"403","WQB","Section 3","Live Cover",331,"Year:Vegetation_ZoneMid",-0.9017,1.0154,-0.888,0.3752
"404","WQB","Section 3","Live Cover",331,"Year:Vegetation_ZoneUp",1.3924,1.3886,1.0028,0.3167
"405","ACE","EIN","Halophyte Cover",142,"(Intercept)",-2199.3261,3334.8455,-0.6595,0.5107
"406","ACE","EIN","Halophyte Cover",142,"Year",1.1173,1.6547,0.6753,0.5006
"407","ACE","EIN","Halophyte Cover",142,"Vegetation_ZoneMid",175.5285,3839.7619,0.0457,0.9636
"408","ACE","EIN","Halophyte Cover",142,"Year:Vegetation_ZoneMid",-0.0936,1.9052,-0.0491,0.9609
"409","ACE","EIS","Halophyte Cover",122,"(Intercept)",-1550.1454,8582.4866,-0.1806,0.857
"410","ACE","EIS","Halophyte Cover",122,"Year",0.7788,4.2593,0.1829,0.8552
"411","ACE","EIS","Halophyte Cover",122,"Vegetation_ZoneMid",-4579.7404,8761.0436,-0.5227,0.6021
"412","ACE","EIS","Halophyte Cover",122,"Year:Vegetation_ZoneMid",2.2805,4.3479,0.5245,0.6009
"413","APA","PC","Halophyte Cover",346,"(Intercept)",348.0299,2348.1582,0.1482,0.8823
"414","APA","PC","Halophyte Cover",346,"Year",-0.1553,1.1642,-0.1334,0.8939
"415","APA","PC","Halophyte Cover",346,"Vegetation_ZoneMid",-1136.2397,3056.1088,-0.3718,0.7103
"416","APA","PC","Halophyte Cover",346,"Vegetation_ZoneUp",13923.4625,7931.1512,1.7555,0.0801
"417","APA","PC","Halophyte Cover",346,"Year:Vegetation_ZoneMid",0.5496,1.5151,0.3628,0.717
"418","APA","PC","Halophyte Cover",346,"Year:Vegetation_ZoneUp",-6.8986,3.9317,-1.7546,0.0802
"419","CBM","MB","Halophyte Cover",160,"(Intercept)",-3205.9545,795.9287,-4.0279,1e-04
"420","CBM","MB","Halophyte Cover",160,"Year",1.6075,0.3952,4.0675,1e-04
"421","CBM","MB","Halophyte Cover",160,"Vegetation_ZoneMid",2297.2481,1602.1924,1.4338,0.1536
"422","CBM","MB","Halophyte Cover",160,"Year:Vegetation_ZoneMid",-1.1394,0.7956,-1.432,0.1541
"423","CBM","OPC","Halophyte Cover",419,"(Intercept)",0,0,NA,1
"424","CBM","OPC","Halophyte Cover",419,"Year",0,0,NA,1
"425","CBM","OPC","Halophyte Cover",419,"Vegetation_ZoneMid",0,0,NA,1
"426","CBM","OPC","Halophyte Cover",419,"Year:Vegetation_ZoneMid",0,0,NA,1
"427","DEL","SJR","Halophyte Cover",120,"(Intercept)",4666.4875,5142.6547,0.9074,0.3661
"428","DEL","SJR","Halophyte Cover",120,"Year",-2.2792,2.5522,-0.8931,0.3737
"429","DEL","SJR","Halophyte Cover",120,"Vegetation_ZoneMid",-4119.7304,6043.3356,-0.6817,0.4968
"430","DEL","SJR","Halophyte Cover",120,"Vegetation_ZoneUp",-4666.4875,15427.9641,-0.3025,0.7628
"431","DEL","SJR","Halophyte Cover",120,"Year:Vegetation_ZoneMid",2.0419,2.9992,0.6808,0.4974
"432","DEL","SJR","Halophyte Cover",120,"Year:Vegetation_ZoneUp",2.2792,7.6566,0.2977,0.7665
"433","ELK","Upper","Halophyte Cover",60,"(Intercept)",0,1102.4677,0,1
"434","ELK","Upper","Halophyte Cover",60,"Year",0,0.5463,0,1
"435","ELK","Upper","Halophyte Cover",60,"Vegetation_ZoneMid",0,2700.4833,0,1
"436","ELK","Upper","Halophyte Cover",60,"Vegetation_ZoneUp",-8434.6536,3214.218,-2.6242,0.0113
"437","ELK","Upper","Halophyte Cover",60,"Year:Vegetation_ZoneMid",0,1.3382,0,1
"438","ELK","Upper","Halophyte Cover",60,"Year:Vegetation_ZoneUp",4.1918,1.5928,2.6318,0.0111
"439","ELK","Lower","Halophyte Cover",100,"(Intercept)",0,0,NA,1
"440","ELK","Lower","Halophyte Cover",100,"Year",0,0,NA,1
"441","ELK","Lower","Halophyte Cover",100,"Vegetation_ZoneMid",0,0,NA,1
"442","ELK","Lower","Halophyte Cover",100,"Vegetation_ZoneUp",0,0,NA,1
"443","ELK","Lower","Halophyte Cover",100,"Year:Vegetation_ZoneMid",0,0,NA,1
"444","ELK","Lower","Halophyte Cover",100,"Year:Vegetation_ZoneUp",0,0,NA,1
"445","GND","spalt","Halophyte Cover",162,"(Intercept)",0,0,NA,1
"446","GND","spalt","Halophyte Cover",162,"Year",0,0,NA,1
"447","GND","spalt","Halophyte Cover",162,"Vegetation_ZoneMid",0,0,NA,1
"448","GND","spalt","Halophyte Cover",162,"Year:Vegetation_ZoneMid",0,0,NA,1
"449","GND","juro low","Halophyte Cover",210,"(Intercept)",0,0,NA,1
"450","GND","juro low","Halophyte Cover",210,"Year",0,0,NA,1
"451","GND","juro low","Halophyte Cover",210,"Vegetation_ZoneMid",0,0,NA,1
"452","GND","juro low","Halophyte Cover",210,"Year:Vegetation_ZoneMid",0,0,NA,1
"453","GND","juro high","Halophyte Cover",128,"(Intercept)",-849.1071,499.2198,-1.7009,0.0915
"454","GND","juro high","Halophyte Cover",128,"Year",0.4214,0.2474,1.7031,0.0911
"455","GND","juro high","Halophyte Cover",128,"Vegetation_ZoneMid",995.2842,524.8005,1.8965,0.0602
"456","GND","juro high","Halophyte Cover",128,"Year:Vegetation_ZoneMid",-0.4937,0.2601,-1.898,0.06
"457","GND","juro mid","Halophyte Cover",240,"(Intercept)",-2053.9286,187.2382,-10.9696,0
"458","GND","juro mid","Halophyte Cover",240,"Year",1.019,0.0928,10.9803,0
"459","GND","juro mid","Halophyte Cover",240,"Vegetation_ZoneMid",2025.166,195.3241,10.3682,0
"460","GND","juro mid","Halophyte Cover",240,"Vegetation_ZoneUp",1813.8889,264.7947,6.8502,0
"461","GND","juro mid","Halophyte Cover",240,"Year:Vegetation_ZoneMid",-1.0048,0.0968,-10.3782,0
"462","GND","juro mid","Halophyte Cover",240,"Year:Vegetation_ZoneUp",-0.9,0.1312,-6.8572,0
"463","GRB","SP","Halophyte Cover",491,"(Intercept)",6660.5565,1734.274,3.8405,1e-04
"464","GRB","SP","Halophyte Cover",491,"Year",-3.2781,0.8601,-3.8114,2e-04
"465","GRB","SP","Halophyte Cover",491,"Vegetation_ZoneMid",-7827.5916,1885.3546,-4.1518,0
"466","GRB","SP","Halophyte Cover",491,"Vegetation_ZoneUp",-7257.5972,2547.4797,-2.8489,0.0046
"467","GRB","SP","Halophyte Cover",491,"Year:Vegetation_ZoneMid",3.8905,0.935,4.161,0
"468","GRB","SP","Halophyte Cover",491,"Year:Vegetation_ZoneUp",3.5754,1.2632,2.8304,0.0048
"469","GRB","GBF","Halophyte Cover",429,"(Intercept)",593.852,1572.6181,0.3776,0.7059
"470","GRB","GBF","Halophyte Cover",429,"Year",-0.2725,0.7799,-0.3495,0.7269
"471","GRB","GBF","Halophyte Cover",429,"Vegetation_ZoneMid",-844.1278,1738.5947,-0.4855,0.6276
"472","GRB","GBF","Halophyte Cover",429,"Vegetation_ZoneUp",-673.0922,2224.0179,-0.3026,0.7623
"473","GRB","GBF","Halophyte Cover",429,"Year:Vegetation_ZoneMid",0.4349,0.8622,0.5044,0.6142
"474","GRB","GBF","Halophyte Cover",429,"Year:Vegetation_ZoneUp",0.3127,1.1029,0.2835,0.7769
"475","GRB","BC","Halophyte Cover",329,"(Intercept)",1178.5926,1389.9612,0.8479,0.3971
"476","GRB","BC","Halophyte Cover",329,"Year",-0.5565,0.6893,-0.8074,0.42
"477","GRB","BC","Halophyte Cover",329,"Vegetation_ZoneMid",376.6256,1810.0423,0.2081,0.8353
"478","GRB","BC","Halophyte Cover",329,"Vegetation_ZoneUp",-2026.5967,2251.3554,-0.9002,0.3687
"479","GRB","BC","Halophyte Cover",329,"Year:Vegetation_ZoneMid",-0.1826,0.8976,-0.2034,0.8389
"480","GRB","BC","Halophyte Cover",329,"Year:Vegetation_ZoneUp",0.9902,1.1165,0.8869,0.3758
"481","GTM","46","Halophyte Cover",406,"(Intercept)",4237.5856,725.3004,5.8425,0
"482","GTM","46","Halophyte Cover",406,"Year",-2.0938,0.3598,-5.8191,0
"483","GTM","46","Halophyte Cover",406,"Vegetation_ZoneMid",-4.5203,10.1639,-0.4447,0.6567
"484","GTM","46","Halophyte Cover",406,"Vegetation_ZoneUp",-5.787,4.8074,-1.2038,0.2294
"485","KAC","FR","Halophyte Cover",546,"(Intercept)",-1968.1333,1256.2672,-1.5667,0.1178
"486","KAC","FR","Halophyte Cover",546,"Year",1.0043,0.6236,1.6103,0.1079
"487","KAC","FR","Halophyte Cover",546,"Vegetation_ZoneMid",952.2055,1416.3085,0.6723,0.5017
"488","KAC","FR","Halophyte Cover",546,"Vegetation_ZoneUp",1749.1866,3392.1235,0.5157,0.6063
"489","KAC","FR","Halophyte Cover",546,"Year:Vegetation_ZoneMid",-0.4812,0.7031,-0.6844,0.494
"490","KAC","FR","Halophyte Cover",546,"Year:Vegetation_ZoneUp",-0.8878,1.684,-0.5272,0.5983
"491","KAC","BS","Halophyte Cover",346,"(Intercept)",-2275.6861,1136.1105,-2.003,0.046
"492","KAC","BS","Halophyte Cover",346,"Year",1.1552,0.5641,2.0478,0.0413
"493","KAC","BS","Halophyte Cover",346,"Vegetation_ZoneMid",-1919.4259,5977.4807,-0.3211,0.7483
"494","KAC","BS","Halophyte Cover",346,"Vegetation_ZoneUp",2275.6861,5977.4807,0.3807,0.7037
"495","KAC","BS","Halophyte Cover",346,"Year:Vegetation_ZoneMid",0.9417,2.968,0.3173,0.7512
"496","KAC","BS","Halophyte Cover",346,"Year:Vegetation_ZoneUp",-1.1552,2.968,-0.3892,0.6974
"497","KAC","CP","Halophyte Cover",463,"(Intercept)",-389.4974,2013.6509,-0.1934,0.8467
"498","KAC","CP","Halophyte Cover",463,"Year",0.2162,0.9994,0.2163,0.8288
"499","KAC","CP","Halophyte Cover",463,"Vegetation_ZoneMid",-664.2795,2446.4178,-0.2715,0.7861
"500","KAC","CP","Halophyte Cover",463,"Year:Vegetation_ZoneMid",0.3351,1.2142,0.276,0.7827
"501","KAC","SC","Halophyte Cover",161,"(Intercept)",-1016.1494,1909.9638,-0.532,0.5955
"502","KAC","SC","Halophyte Cover",161,"Year",0.5388,0.9477,0.5685,0.5705
"503","KAC","SC","Halophyte Cover",161,"Vegetation_ZoneMid",-1132.304,2726.5825,-0.4153,0.6785
"504","KAC","SC","Halophyte Cover",161,"Year:Vegetation_ZoneMid",0.5624,1.353,0.4157,0.6782
"505","NAR","Nag","Halophyte Cover",312,"(Intercept)",6663.6571,1027.0199,6.4883,0
"506","NAR","Nag","Halophyte Cover",312,"Year",-3.2656,0.5094,-6.4102,0
"507","NAR","Nag","Halophyte Cover",312,"Vegetation_ZoneMid",-4340.054,1176.5991,-3.6886,3e-04
"508","NAR","Nag","Halophyte Cover",312,"Vegetation_ZoneUp",-6028.8655,1677.1165,-3.5948,4e-04
"509","NAR","Nag","Halophyte Cover",312,"Year:Vegetation_ZoneMid",2.1559,0.5836,3.694,3e-04
"510","NAR","Nag","Halophyte Cover",312,"Year:Vegetation_ZoneUp",2.9943,0.8319,3.5993,4e-04
"511","NAR","Coggeshall","Halophyte Cover",273,"(Intercept)",3618.5819,1080.0803,3.3503,9e-04
"512","NAR","Coggeshall","Halophyte Cover",273,"Year",-1.7569,0.5358,-3.2792,0.0012
"513","NAR","Coggeshall","Halophyte Cover",273,"Vegetation_ZoneMid",851.2155,1381.6434,0.6161,0.5384
"514","NAR","Coggeshall","Halophyte Cover",273,"Vegetation_ZoneUp",651.8192,1971.9479,0.3305,0.7412
"515","NAR","Coggeshall","Halophyte Cover",273,"Year:Vegetation_ZoneMid",-0.4192,0.6853,-0.6116,0.5413
"516","NAR","Coggeshall","Halophyte Cover",273,"Year:Vegetation_ZoneUp",-0.3189,0.9781,-0.3261,0.7446
"517","NIW","Segment A","Halophyte Cover",319,"(Intercept)",-3463.8249,1131.5199,-3.0612,0.0024
"518","NIW","Segment A","Halophyte Cover",319,"Year",1.747,0.562,3.1084,0.0021
"519","NIW","Segment A","Halophyte Cover",319,"Vegetation_ZoneMid",2546.3302,1705.0247,1.4934,0.1363
"520","NIW","Segment A","Halophyte Cover",319,"Vegetation_ZoneUp",7319.9944,3365.7548,2.1748,0.0304
"521","NIW","Segment A","Halophyte Cover",319,"Year:Vegetation_ZoneMid",-1.2566,0.8469,-1.4838,0.1389
"522","NIW","Segment A","Halophyte Cover",319,"Year:Vegetation_ZoneUp",-3.642,1.6712,-2.1793,0.0301
"523","NIW","Segment B","Halophyte Cover",338,"(Intercept)",-2024.4282,929.5971,-2.1777,0.0301
"524","NIW","Segment B","Halophyte Cover",338,"Year",1.0333,0.4617,2.2379,0.0259
"525","NIW","Segment B","Halophyte Cover",338,"Vegetation_ZoneMid",1415.5558,1935.1107,0.7315,0.465
